S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Polycab India,6673.00,58.40,100327.77,0.45,553.47,28.46,5591.90,29.33,31.33,Cables
2.,KEI Industries,4629.20,71.90,41774.52,0.08,168.79,22.21,2319.28,18.76,27.21,Cables
3.,Finolex Cables,1655.75,44.29,25322.92,0.42,146.22,8.65,1401.02,14.43,19.00,Cables
4.,R R Kabel,1781.70,67.66,20100.95,0.33,78.47,21.43,1754.07,15.66,19.96,Cables
5.,Sterlite Tech.,142.70,,6958.17,0.69,-82.00,-203.75,1140.00,-39.10,5.13,Cables
6.,Diamond Power,1289.80,392.20,6796.87,0.00,14.42,188.99,134.41,852.59,,Cables
7.,Universal Cables,746.15,23.92,2588.79,0.40,48.57,18.29,580.33,-0.44,10.03,Cables
8.,Paramount Comm.,79.05,27.97,2398.66,0.00,29.49,113.70,323.37,60.02,15.43,Cables
9.,Dynamic Cables,598.00,34.86,1316.43,0.08,13.77,37.98,240.91,34.99,24.12,Cables
10.,Birla Cable,256.20,34.20,768.60,1.00,1.46,-88.73,174.72,-28.77,11.60,Cables
11.,Delton Cables,517.95,45.99,447.51,0.00,6.31,163.97,131.78,63.70,18.35,Cables
12.,V-Marc India,193.30,16.40,440.44,0.00,21.36,,389.70,,37.21,Cables
13.,Plaza Wires,88.04,104.66,385.19,0.00,0.63,,52.51,,7.54,Cables
14.,Cords Cable,238.00,30.55,307.67,0.00,3.23,52.36,179.22,26.23,15.68,Cables
15.,DCG Cables,169.00,34.55,306.72,0.00,4.17,,48.36,,36.56,Cables
16.,Ultracab India,14.40,22.70,137.39,0.00,1.77,5.78,44.56,79.46,16.10,Cables
17.,Aksh Optifibre,8.35,,135.85,0.00,-60.37,55.36,50.29,-36.80,-1.82,Cables
18.,Marco Cables,57.90,35.63,108.27,0.00,2.10,,50.94,,19.31,Cables
19.,Relicab Cable,106.95,70.10,107.96,0.00,0.83,-18.63,14.03,9.18,20.26,Cables
20.,Godha Cabcon,1.06,138.48,70.63,0.00,1.22,113.56,16.69,356.01,3.12,Cables
21.,Cybele Industrie,44.77,,47.90,0.00,1.63,1381.82,9.01,-15.32,1.56,Cables
22.,T N Telecom.,10.00,,45.68,0.00,-5.22,-32.15,0.00,,,Cables
23.,Jigar Cables,50.10,33.88,35.23,0.00,0.68,,26.22,,8.45,Cables
24.,CMI,4.74,,7.60,0.00,-1.85,83.35,7.90,230.54,-8.19,Cables
25.,SGN Telecoms,0.78,,6.30,0.00,-0.02,-100.00,0.00,,-74.39,Cables
,Median: 25 Co.,142.7,35.63,385.19,0.0,2.1,25.34,131.78,22.5,15.68,Cables
