S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Siemens,7832.40,120.38,278927.63,0.13,896.40,73.72,5313.80,19.00,20.66,Capital Goods - Electrical Equipment
2.,A B B,8627.95,124.96,182833.50,0.28,459.29,87.46,3080.36,27.75,30.69,Capital Goods - Electrical Equipment
3.,CG Power & Ind,729.60,80.30,111473.51,0.21,233.81,-1.79,2191.72,15.18,46.63,Capital Goods - Electrical Equipment
4.,B H E L,313.80,387.25,109267.17,0.13,489.62,-25.59,8260.25,0.40,2.97,Capital Goods - Electrical Equipment
5.,Suzlon Energy,54.87,103.90,74155.04,0.00,254.12,352.16,2196.21,29.64,24.70,Capital Goods - Electrical Equipment
6.,Hitachi Energy,13883.05,359.24,58838.64,0.03,113.66,123.70,1695.28,27.08,17.18,Capital Goods - Electrical Equipment
7.,GE T&D India,1689.20,238.96,43251.99,0.00,66.29,353.79,913.60,29.95,22.15,Capital Goods - Electrical Equipment
8.,Apar Inds.,8686.30,42.25,34891.37,0.46,236.22,-2.68,4455.11,9.08,42.86,Capital Goods - Electrical Equipment
9.,K E C Intl.,928.50,68.84,23870.69,0.33,151.75,110.27,6164.83,11.58,14.20,Capital Goods - Electrical Equipment
10.,Schneider Elect.,923.70,126.14,22085.62,0.00,3.28,-92.96,471.75,14.92,33.07,Capital Goods - Electrical Equipment
11.,Inox Wind,159.20,,20756.45,0.00,36.72,145.06,527.73,176.66,4.25,Capital Goods - Electrical Equipment
12.,Triveni Turbine,641.80,75.75,20401.33,0.20,76.20,36.86,458.05,23.88,41.68,Capital Goods - Electrical Equipment
13.,V-Guard Industri,466.60,87.83,20289.15,0.30,79.17,70.88,1261.63,16.76,16.07,Capital Goods - Electrical Equipment
14.,Kalpataru Proj.,1225.20,38.98,19902.92,0.64,169.00,79.13,5971.00,22.31,15.99,Capital Goods - Electrical Equipment
15.,Volt.Transform.,12879.95,42.45,13030.82,0.68,93.53,22.15,504.16,14.62,32.46,Capital Goods - Electrical Equipment
16.,T R I L,797.70,270.60,11972.15,0.03,41.62,342.68,512.70,16.96,14.81,Capital Goods - Electrical Equipment
17.,Insolation Ener,3043.30,114.28,6339.79,0.00,40.44,,458.77,,63.82,Capital Goods - Electrical Equipment
18.,TD Power Systems,387.50,51.19,6052.14,0.13,29.03,-15.44,263.89,5.62,24.82,Capital Goods - Electrical Equipment
19.,Exicom Tele-Sys.,495.00,90.03,5980.87,0.00,30.99,56.28,297.54,60.42,24.69,Capital Goods - Electrical Equipment
20.,Bharat Bijlee,5101.25,43.87,5766.04,0.39,48.53,80.68,587.47,36.69,10.56,Capital Goods - Electrical Equipment
21.,Shilchar Tech.,6400.00,53.13,4881.16,0.08,25.02,53.69,105.43,10.99,74.63,Capital Goods - Electrical Equipment
22.,Honda India,4090.00,46.49,4147.30,0.41,15.80,-22.73,231.16,-26.22,15.51,Capital Goods - Electrical Equipment
23.,Spectrum Electr.,2304.00,182.34,3595.76,0.04,12.61,,197.72,,18.94,Capital Goods - Electrical Equipment
24.,HPL Electric,451.00,66.61,2899.93,0.21,13.72,21.87,424.09,16.91,10.99,Capital Goods - Electrical Equipment
25.,Ujaas Energy,261.93,71.47,2758.16,0.00,-4.14,503.10,6.84,-20.74,14.05,Capital Goods - Electrical Equipment
