S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Bharat Forge,1660.65,84.29,77317.97,0.55,227.11,59.47,4164.21,14.75,13.32,"Castings, Forgings & Fastners"
2.,AIA Engineering,4243.55,35.27,40025.32,0.38,260.48,-2.68,1150.22,-9.69,22.75,"Castings, Forgings & Fastners"
3.,CIE Automotive,600.30,28.20,22773.12,0.84,230.48,4.52,2426.80,-0.55,18.32,"Castings, Forgings & Fastners"
4.,PTC Industries,14930.15,510.62,21560.38,0.00,14.72,60.00,72.41,16.36,10.90,"Castings, Forgings & Fastners"
5.,Ramkrishna Forg.,964.20,51.09,17432.00,0.21,93.85,37.11,1023.26,14.76,18.66,"Castings, Forgings & Fastners"
6.,Happy Forgings,1276.90,49.54,12029.04,0.32,65.79,29.74,343.34,13.51,22.70,"Castings, Forgings & Fastners"
7.,Electrost.Cast.,185.60,14.91,11035.86,0.48,227.15,153.92,2004.26,7.04,15.95,"Castings, Forgings & Fastners"
8.,Kennametal India,3575.55,87.71,7858.43,0.83,38.30,85.19,268.80,5.12,17.38,"Castings, Forgings & Fastners"
9.,Rolex Rings,2530.00,38.48,6890.02,0.00,23.62,-10.26,316.34,5.63,28.08,"Castings, Forgings & Fastners"
10.,Balu Forge,359.60,39.37,3689.20,0.00,28.28,85.56,161.17,30.21,29.95,"Castings, Forgings & Fastners"
11.,M M Forgings,1305.05,21.72,3150.54,0.60,38.04,34.27,388.58,4.08,15.14,"Castings, Forgings & Fastners"
12.,Alicon Cast.,1294.60,34.35,2105.29,0.48,20.54,111.75,419.30,31.34,14.52,"Castings, Forgings & Fastners"
13.,Amic Forging,1380.00,104.64,1447.40,0.00,6.72,,74.63,,80.79,"Castings, Forgings & Fastners"
14.,Steelcast,678.00,18.30,1372.25,0.97,18.71,-4.25,98.40,-18.22,40.10,"Castings, Forgings & Fastners"
15.,Sterling Tools,373.75,24.43,1346.43,0.53,16.25,66.67,269.25,27.20,14.80,"Castings, Forgings & Fastners"
16.,Nelcast,154.55,33.78,1344.61,0.26,5.07,3.35,295.47,-5.65,10.06,"Castings, Forgings & Fastners"
17.,Uni Abex Alloy,2893.30,16.12,571.41,0.68,3.44,-47.64,33.61,-14.67,42.79,"Castings, Forgings & Fastners"
18.,Synergy Green,392.85,47.99,555.12,0.00,3.25,-5.25,82.31,-3.37,22.66,"Castings, Forgings & Fastners"
19.,Pradeep Metals,245.65,19.02,424.23,0.79,7.83,79.18,79.49,26.07,20.04,"Castings, Forgings & Fastners"
20.,Nitin Castings,825.00,30.30,424.17,0.09,2.31,501.45,39.15,30.94,24.62,"Castings, Forgings & Fastners"
21.,Kalyani Cast-Tec,488.75,36.55,350.95,0.00,3.73,,45.26,,75.54,"Castings, Forgings & Fastners"
22.,LGB Forge,12.50,,297.75,0.00,-3.22,-12200.00,19.81,-25.64,-4.59,"Castings, Forgings & Fastners"
23.,Inv.& Prec.Cast.,577.75,37.08,288.88,0.17,0.70,-75.78,39.76,-10.59,12.27,"Castings, Forgings & Fastners"
24.,Tirupati Forge,26.30,41.08,272.66,0.00,1.92,-10.28,33.11,41.56,18.76,"Castings, Forgings & Fastners"
25.,Kalyani Forge,586.65,46.93,213.55,0.52,0.71,123.43,56.82,-10.63,8.04,"Castings, Forgings & Fastners"
,Median: 53 Co.,245.65,34.06,207.26,0.0,2.33,29.98,39.76,4.08,15.35,"Castings, Forgings & Fastners"
26.,Universal Auto.,169.35,43.09,210.61,0.00,1.76,15.03,48.20,-20.33,8.56,"Castings, Forgings & Fastners"
27.,Captain Techno.,203.00,56.02,207.26,0.10,2.17,,33.13,,20.17,"Castings, Forgings & Fastners"
28.,Magna Electrocas,471.95,13.22,199.74,1.06,4.09,48.73,36.35,-1.28,20.31,"Castings, Forgings & Fastners"
29.,Hilton Met.Forg.,84.13,26.41,176.65,0.00,0.55,-77.91,33.83,10.34,9.80,"Castings, Forgings & Fastners"
30.,GTV Engineering,550.10,31.76,171.84,0.00,2.33,-29.61,32.07,15.53,15.35,"Castings, Forgings & Fastners"
31.,DCM,85.90,30.85,160.43,0.00,6.55,395.05,16.47,-3.51,50.79,"Castings, Forgings & Fastners"
32.,Samrat Forgings,316.05,53.21,158.04,0.00,0.64,-40.19,39.45,-12.78,10.27,"Castings, Forgings & Fastners"
33.,Simplex Castings,213.90,100.28,147.41,0.00,1.26,162.39,31.47,-29.19,10.48,"Castings, Forgings & Fastners"
34.,Bhagwati Auto,492.00,20.45,141.70,0.40,4.07,82.51,32.21,-11.19,22.56,"Castings, Forgings & Fastners"
35.,Gujarat Intrux,385.80,17.87,132.52,2.59,1.87,78.10,14.88,16.25,16.97,"Castings, Forgings & Fastners"
36.,National Fitting,141.15,21.95,128.21,1.05,1.92,159.46,21.64,3.79,12.39,"Castings, Forgings & Fastners"
37.,Simm. Marshall,113.60,58.63,127.22,0.00,0.65,-53.90,48.27,5.76,9.52,"Castings, Forgings & Fastners"
38.,Sharp Chucks and,114.00,20.11,122.67,0.00,3.69,,105.13,,5.97,"Castings, Forgings & Fastners"
39.,Porwal Auto Comp,79.80,33.58,120.49,0.00,1.16,206.42,33.34,-6.30,10.05,"Castings, Forgings & Fastners"
40.,Creative Casting,905.00,23.22,117.65,1.11,1.84,46.03,15.29,-10.01,17.76,"Castings, Forgings & Fastners"
41.,Krishanveer Forg,103.65,28.41,113.36,0.00,1.04,-35.40,23.50,23.55,16.36,"Castings, Forgings & Fastners"
42.,Ganga Forging,7.75,241.84,103.99,0.00,-0.02,-101.94,10.24,21.33,4.61,"Castings, Forgings & Fastners"
43.,Tayo Rolls,99.50,,102.10,0.00,-0.80,3.61,0.00,,-3.48,"Castings, Forgings & Fastners"
44.,Pattech Fitwell,111.00,59.79,86.10,0.00,1.01,,18.84,,16.02,"Castings, Forgings & Fastners"
45.,Deem Roll,103.00,10.99,85.87,0.00,4.04,,50.76,,19.13,"Castings, Forgings & Fastners"
46.,Pritika Engineer,56.60,22.21,74.61,0.00,0.35,-57.83,20.75,-0.62,10.53,"Castings, Forgings & Fastners"
47.,Smiths & Founder,5.36,86.79,54.67,0.00,0.27,,3.13,15.07,4.25,"Castings, Forgings & Fastners"
48.,EL Forge,20.96,13.93,42.59,0.00,69.96,-7.89,17.33,-4.99,,"Castings, Forgings & Fastners"
49.,Palco Metals Ltd,78.81,15.46,31.52,0.00,-0.43,-157.33,60.93,88.75,11.51,"Castings, Forgings & Fastners"
50.,Galaxy Agrico,43.99,,12.02,0.00,-0.15,11.76,0.82,-51.19,-11.00,"Castings, Forgings & Fastners"
,Median: 53 Co.,245.65,34.06,207.26,0.0,2.33,29.98,39.76,4.08,15.35,"Castings, Forgings & Fastners"
51.,Shivagrico Impl.,22.99,164.48,11.51,0.00,-0.01,66.67,11.77,29.77,4.96,"Castings, Forgings & Fastners"
52.,Lak. Prec. Screw,6.06,,6.63,0.00,-12.66,30.21,51.35,-16.37,0.28,"Castings, Forgings & Fastners"
53.,Carnation Inds.,7.33,,2.54,0.00,-0.15,53.12,0.00,,,"Castings, Forgings & Fastners"
,Median: 53 Co.,245.65,34.06,207.26,0.0,2.33,29.98,39.76,4.08,15.35,"Castings, Forgings & Fastners"
