S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Pidilite Inds.,3108.25,88.77,158088.52,0.35,304.29,23.66,2901.85,7.91,29.72,Chemicals
2.,Linde India,8986.70,179.72,76638.61,0.05,104.33,5.66,630.07,-0.03,17.55,Chemicals
3.,SRF,2399.70,53.39,71133.06,0.30,422.21,-24.93,3569.74,-5.51,12.71,Chemicals
4.,Deepak Nitrite,2682.00,48.68,36580.62,0.28,253.85,-16.26,2126.21,8.40,22.30,Chemicals
5.,Gujarat Fluoroch,3294.30,83.21,36187.86,0.12,100.97,-69.58,1133.03,-23.00,9.67,Chemicals
6.,Godrej Industrie,902.90,506.95,30399.83,0.00,-25.34,-108.44,4567.27,-5.87,5.94,Chemicals
7.,Tata Chemicals,1107.05,57.87,28203.25,1.36,-841.00,-82.28,3475.00,-21.15,7.81,Chemicals
8.,Aarti Industries,723.60,63.06,26230.79,0.35,132.00,-11.41,1773.00,7.07,7.41,Chemicals
9.,Castrol India,248.55,27.97,24584.63,3.00,216.24,6.79,1325.24,2.42,56.72,Chemicals
10.,BASF India,5336.00,40.94,23099.57,0.28,161.51,127.00,3359.97,2.54,25.04,Chemicals
11.,Vinati Organics,1939.55,62.19,20106.47,0.37,104.49,-0.17,550.31,5.98,18.60,Chemicals
12.,Himadri Special,406.25,48.87,20016.65,0.12,115.18,51.11,1176.95,14.39,19.11,Chemicals
13.,Atul,6747.00,61.51,19864.32,0.30,58.79,-36.66,1212.15,1.42,9.08,Chemicals
14.,Navin Fluo.Intl.,3674.60,79.74,18221.94,0.33,70.37,-48.39,601.95,-13.65,10.53,Chemicals
15.,Fine Organic,5335.85,44.52,16359.69,0.19,104.31,-24.15,521.52,-25.35,29.06,Chemicals
16.,Clean Science,1495.00,65.05,15886.07,0.33,70.27,-12.74,227.53,4.92,29.53,Chemicals
17.,Aether Industri.,931.60,132.97,12348.40,0.00,-1.43,-97.12,117.53,-36.05,7.52,Chemicals
18.,Alkyl Amines,2133.75,72.82,10910.08,0.47,38.45,-20.95,356.62,-13.54,16.46,Chemicals
19.,G N F C,733.00,22.30,10770.75,4.12,127.00,-61.98,2110.00,-7.09,7.72,Chemicals
20.,Galaxy Surfact.,2869.95,33.75,10175.29,0.79,77.50,-14.39,929.00,-5.17,17.39,Chemicals
21.,PCBL Ltd,260.35,20.04,9827.26,2.10,110.95,8.59,1928.78,40.40,14.16,Chemicals
22.,Deepak Fertiliz.,760.20,21.71,9596.59,1.16,219.63,-15.73,2086.28,-25.37,11.64,Chemicals
23.,Archean Chemical,736.00,29.73,9081.97,0.41,59.64,-56.41,283.39,-25.89,25.75,Chemicals
24.,Elantas Beck,11199.90,61.61,8881.50,0.05,36.91,22.83,176.58,4.21,27.67,Chemicals
25.,Chemplast Sanmar,558.40,,8828.87,0.00,-31.13,-167.56,1050.72,-8.38,-1.47,Chemicals
,Median: 178 Co.,274.73,39.52,721.79,0.17,5.03,2.62,101.65,-0.27,10.87,Chemicals
26.,Jubilant Ingrev.,536.25,46.75,8541.44,0.93,29.25,-44.08,1074.44,-6.16,9.78,Chemicals
27.,Anupam Rasayan,766.25,65.43,8416.07,0.33,40.47,-45.47,401.01,-16.45,9.04,Chemicals
28.,Balaji Amines,2418.55,38.31,7836.35,0.45,72.48,43.49,413.94,-12.19,16.76,Chemicals
29.,Laxmi Organic,265.20,60.84,7331.46,0.23,44.31,82.57,792.06,8.43,9.44,Chemicals
30.,Gulf Oil Lubric.,1336.95,21.33,6577.31,1.86,85.43,37.41,852.82,7.67,,Chemicals
31.,Epigral,1559.80,33.11,6481.02,0.32,76.67,-0.17,524.63,-6.68,17.49,Chemicals
32.,Sudarshan Chem.,925.90,54.24,6409.77,0.39,58.03,78.17,764.25,10.57,11.75,Chemicals
33.,Privi Speci.,1577.85,62.96,6163.55,0.13,34.34,388.33,475.61,17.34,12.32,Chemicals
34.,Gujarat Alkalies,790.20,,5803.21,3.00,-46.19,-165.02,1001.62,-11.99,-3.83,Chemicals
35.,GHCL,570.30,9.16,5460.86,2.11,124.86,-50.21,823.38,-26.47,20.63,Chemicals
36.,NOCIL,298.00,37.33,4966.04,1.00,41.54,46.68,356.50,-9.22,11.10,Chemicals
37.,Rossari Biotech,831.05,35.11,4591.34,0.06,34.13,17.77,472.72,16.30,18.28,Chemicals
