S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,NIIT,117.90,40.91,1594.97,0.42,11.39,207.32,74.34,23.80,4.62,Computer Education
2.,Aptech,222.00,37.88,1287.45,2.02,2.75,-86.96,104.06,-41.69,18.38,Computer Education
3.,Vinsys IT Serv.,376.95,24.15,553.28,0.00,14.89,,91.26,,56.72,Computer Education
4.,Zee Learn,7.97,5.60,259.89,0.00,169.38,217.80,116.47,4.90,16.46,Computer Education
5.,Compucom Soft.,28.35,42.23,224.33,1.39,0.18,-92.62,8.45,-65.41,5.87,Computer Education
6.,BITS,3.73,17.31,41.73,0.00,0.04,121.05,0.24,14.29,0.69,Computer Education
7.,Jetking Infotrai,57.70,,34.08,0.00,0.45,-71.88,4.35,-9.00,-0.75,Computer Education
8.,Educomp Sol.,2.51,,30.74,0.00,-3.05,83.23,0.88,-12.00,,Computer Education
9.,Usha Mart. Edu.,7.38,130.00,19.50,0.00,-0.05,-266.67,0.22,120.00,3.06,Computer Education
,Median: 9 Co.,28.35,37.88,224.33,0.0,0.45,5.68,8.45,-2.05,5.25,Computer Education
