S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Macrotech Devel.,1513.30,92.39,150565.01,0.15,667.00,-10.60,4018.50,23.44,11.11,Construction
2.,NCC,339.20,29.05,21296.59,0.64,238.74,29.54,6484.88,31.03,22.14,Construction
3.,National Standar,4755.00,645.19,9510.00,0.00,4.22,56.30,5.59,-40.72,7.92,Construction
4.,Mahindra Life.,603.40,109.22,9354.95,0.43,71.48,13386.79,14.29,-94.40,2.01,Construction
5.,Ganesh Housing,1008.80,18.26,8412.13,1.06,112.80,186.15,276.78,54.37,45.22,Construction
6.,Man Infra,195.55,24.17,7259.82,0.81,64.65,-20.75,296.74,-56.38,28.84,Construction
7.,EMS,662.15,24.16,3676.89,0.15,47.38,33.62,245.26,28.92,30.30,Construction
8.,PSP Projects,686.60,21.97,2721.80,0.36,15.25,-67.07,649.17,-10.76,19.10,Construction
9.,Indian Hume Pipe,425.20,28.86,2240.03,0.35,43.67,172.77,404.28,-10.99,12.55,Construction
10.,JP Associates,8.65,,2123.23,0.00,-431.28,-524.59,1740.93,-8.74,3.15,Construction
11.,B.L.Kashyap,92.62,39.75,2088.04,0.00,23.66,16800.00,341.18,23.65,14.28,Construction
12.,Elpro Internatio,106.55,21.11,1805.80,0.57,24.03,7609.38,113.34,161.63,7.86,Construction
13.,Vascon Engineers,73.22,24.14,1638.95,0.34,16.82,-66.10,335.42,2.47,8.29,Construction
14.,Last Mile Enter.,772.15,648.27,1588.26,0.03,4.32,-62.11,130.88,802.62,,Construction
15.,BEML Land Assets,307.05,,1278.66,0.00,-0.66,-144.44,0.00,,,Construction
16.,K&R Rail Engine.,461.80,55.14,977.61,0.00,1.04,,145.52,,,Construction
17.,SPML Infra,193.60,,948.22,0.00,-3.56,-137.79,461.21,-0.49,3.50,Construction
18.,Simplex Infra,146.85,,839.16,0.00,163.72,269.03,360.75,-23.81,-0.35,Construction
19.,Parsvnath Devl.,12.93,,562.66,0.00,-307.31,-6.81,87.07,-68.91,-5.18,Construction
20.,Sadbhav Engg.,29.36,,503.73,0.00,-288.23,-21032.98,472.70,11.05,2.15,Construction
21.,Nila Infrastruct,12.50,43.76,492.39,0.00,5.33,26550.00,86.75,101.04,12.47,Construction
22.,RBM Infracon,575.00,43.77,485.35,0.00,4.08,,57.29,,28.63,Construction
23.,Modi's Navnirman,240.00,70.28,470.19,0.40,3.86,,32.53,,22.90,Construction
24.,Innovators,234.70,29.01,442.81,0.00,10.21,,114.76,,16.82,Construction
25.,Chavda Infra Ltd,168.00,22.08,414.22,0.00,12.12,,139.07,,38.51,Construction
,Median: 90 Co.,54.78,33.08,118.44,0.0,0.21,-11.73,11.98,-11.11,4.2,Construction
26.,SRM Contractors,177.60,15.11,407.49,0.00,6.17,-11.73,107.87,4.93,28.05,Construction
27.,Suyog Gurbaxani,149.00,66.27,370.45,0.00,5.08,,52.02,,19.63,Construction
28.,Z-Tech,272.30,44.67,348.47,0.00,4.06,,29.35,,63.59,Construction
29.,Navkar Urban.,13.46,293.26,302.07,0.15,-1.07,-208.08,0.16,-96.96,1.04,Construction
30.,SAB Industries,177.00,6.92,269.22,0.00,-16.77,-268.54,21.15,,,Construction
31.,Veer Global Inf.,161.95,180.18,263.06,0.00,1.05,-55.56,5.93,-37.02,6.57,Construction
32.,RDB Realty,146.45,12.85,253.04,0.00,12.00,49.29,60.86,-9.52,5.29,Construction
33.,Generic Engineer,46.83,22.30,248.37,0.11,4.33,-26.61,140.40,61.73,6.62,Construction
34.,Alpine Housing,142.70,71.64,247.18,0.00,1.20,-17.57,15.39,-16.18,6.39,Construction
35.,Supreme Holdings,61.99,29.30,230.46,0.00,1.58,-17.28,19.93,18.00,2.16,Construction
36.,Ratnabhumi Dev.,167.50,740.25,229.48,0.00,0.22,633.33,0.20,100.00,8.48,Construction
37.,Samor Reality,98.00,,210.71,0.00,0.06,119.35,0.00,,1.43,Construction
38.,Pansari Develop.,105.02,35.16,183.22,0.00,1.49,210.42,12.22,168.57,5.09,Construction
39.,Aluwind,70.75,23.31,175.79,0.00,3.82,,42.07,,45.77,Construction
40.,Thakkers Develp.,190.00,,171.00,0.00,-2.26,-149.02,6.38,-66.61,-0.23,Construction
41.,Art Nirman Ltd,65.12,137.70,162.52,0.00,0.22,-43.59,13.38,14.55,4.57,Construction
