S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Havells India,1894.60,94.01,118731.31,0.48,446.70,24.76,5442.02,11.99,24.40,Consumer Durables
2.,Dixon Technolog.,12722.20,206.99,76123.35,0.02,97.30,18.05,4657.97,51.95,28.73,Consumer Durables
3.,Voltas,1443.70,192.42,47769.86,0.38,110.64,-22.75,4202.88,42.14,8.51,Consumer Durables
4.,Blue Star,1601.00,79.41,32918.94,0.44,159.71,53.68,3327.77,26.83,25.36,Consumer Durables
5.,Crompton Gr. Con,409.90,59.89,26366.08,0.73,133.43,1.73,1961.00,9.49,15.82,Consumer Durables
6.,Kaynes Tech,4082.45,142.37,26094.25,0.00,81.26,96.85,637.30,74.80,14.52,Consumer Durables
7.,Whirlpool India,1958.35,108.26,24845.54,0.26,79.45,44.28,1733.99,3.67,9.29,Consumer Durables
8.,Amber Enterp.,4505.00,114.21,15179.02,0.00,99.03,-8.95,2805.46,-6.57,10.14,Consumer Durables
9.,Bajaj Electrical,1100.15,93.32,12677.35,0.28,29.31,-44.70,1188.08,-8.04,12.72,Consumer Durables
10.,TTK Prestige,852.10,52.39,11811.28,0.72,57.42,-1.02,622.56,1.90,14.50,Consumer Durables
11.,Genus Power,357.95,144.65,10872.87,0.21,31.37,151.56,420.12,107.65,9.74,Consumer Durables
12.,Sheela Foam,987.75,77.98,10736.62,0.00,65.15,-14.28,845.15,15.93,7.97,Consumer Durables
13.,PG Electroplast,3748.75,72.55,9783.41,0.00,69.55,73.14,1076.57,29.98,18.66,Consumer Durables
14.,Eureka Forbes,503.80,95.58,9743.05,0.00,21.37,47.66,553.07,8.84,3.48,Consumer Durables
15.,Symphony,1154.50,53.30,7961.11,1.13,48.00,200.00,332.00,7.79,19.01,Consumer Durables
16.,IFB Industries,1681.75,98.92,6814.50,0.00,13.86,283.58,1055.33,7.14,12.48,Consumer Durables
17.,Orient Electric,275.70,95.43,5882.49,0.54,12.80,-48.01,787.66,19.72,14.08,Consumer Durables
