S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Titan Company,3342.45,84.81,296738.10,0.33,771.00,5.62,12494.00,20.60,22.70,"Diamond, Gems and Jewellery"
2.,Kalyan Jewellers,488.75,84.50,50371.20,0.10,137.49,50.02,4534.93,34.10,13.40,"Diamond, Gems and Jewellery"
3.,Rajesh Exports,288.65,25.42,8522.68,0.00,-31.57,-108.63,91444.97,-20.79,3.23,"Diamond, Gems and Jewellery"
4.,Senco Gold,1084.90,44.64,8430.11,0.09,36.83,38.25,1129.93,39.02,13.35,"Diamond, Gems and Jewellery"
5.,Vaibhav Global,320.05,40.12,5309.93,1.87,21.06,2.06,789.37,13.95,14.04,"Diamond, Gems and Jewellery"
6.,Thangamayil Jew.,1762.45,39.24,4836.05,0.34,28.24,-8.99,982.74,27.37,20.32,"Diamond, Gems and Jewellery"
7.,PC Jeweller,51.56,,2399.61,0.00,-121.64,59.78,48.49,-72.03,-1.75,"Diamond, Gems and Jewellery"
8.,Sky Gold,1758.60,57.49,2327.90,0.12,13.61,123.85,513.38,90.20,18.69,"Diamond, Gems and Jewellery"
9.,Goldiam Intl.,176.85,20.72,1888.68,1.12,17.77,10.30,147.86,9.57,19.78,"Diamond, Gems and Jewellery"
10.,Motisons Jewel,159.30,48.31,1568.26,0.00,10.79,245.18,116.68,28.69,16.65,"Diamond, Gems and Jewellery"
11.,Asian Star Co.,803.95,16.67,1287.12,0.18,18.58,4.68,986.34,-8.53,6.25,"Diamond, Gems and Jewellery"
12.,Manoj Vaibhav,227.95,13.76,1113.46,0.00,20.57,38.33,546.45,5.90,16.33,"Diamond, Gems and Jewellery"
13.,Renaiss. Global,106.35,14.14,1022.36,0.00,21.04,-0.20,536.51,7.42,7.98,"Diamond, Gems and Jewellery"
14.,T B Z,132.60,16.25,884.85,1.31,12.61,7.50,506.51,8.98,10.33,"Diamond, Gems and Jewellery"
15.,Radhika Jeweltec,62.65,14.92,739.28,0.30,11.46,114.21,153.59,54.25,24.58,"Diamond, Gems and Jewellery"
16.,RBZ Jewellers Lt,134.00,24.85,536.00,0.00,2.69,-44.88,86.17,9.81,16.12,"Diamond, Gems and Jewellery"
17.,Uday Jewellery,136.80,34.58,301.25,0.00,0.06,-97.12,41.84,-7.10,13.29,"Diamond, Gems and Jewellery"
18.,Ashapuri Gold,7.52,33.74,250.67,0.00,3.08,10166.67,50.70,67.94,11.57,"Diamond, Gems and Jewellery"
19.,Golkunda Diamond,179.50,13.00,124.96,0.83,4.36,86.32,80.67,43.75,17.77,"Diamond, Gems and Jewellery"
20.,Narbada Gems,56.38,23.47,119.28,0.00,-2.34,-408.70,9.17,-51.79,11.66,"Diamond, Gems and Jewellery"
21.,Patdiam Jeweller,219.00,15.32,94.54,0.00,4.10,,62.42,,15.36,"Diamond, Gems and Jewellery"
22.,Dev Labtech,105.70,65.24,87.43,0.00,0.03,,22.30,,9.75,"Diamond, Gems and Jewellery"
23.,Minal Industries,4.41,470.14,84.63,0.00,5.95,3.52,14.81,132.13,1.95,"Diamond, Gems and Jewellery"
24.,Kenvi Jewels,5.69,108.95,71.90,0.00,0.11,-59.26,32.07,12.57,7.22,"Diamond, Gems and Jewellery"
25.,Silgo Retail,35.85,21.05,66.34,0.00,0.94,14.63,10.13,-24.01,9.95,"Diamond, Gems and Jewellery"
,Median: 41 Co.,62.65,33.74,94.54,0.0,0.53,7.5,50.7,9.69,10.29,"Diamond, Gems and Jewellery"
26.,SwarnsaritaJewel,29.91,13.06,62.46,0.00,0.07,-98.06,171.25,12.79,6.49,"Diamond, Gems and Jewellery"
27.,Kanani Industrie,3.09,98.60,61.14,0.00,0.03,400.00,53.29,-13.85,1.75,"Diamond, Gems and Jewellery"
28.,Zodiac-JRD MKJ,71.00,,36.75,0.00,-1.79,-1727.27,0.00,-100.00,-2.97,"Diamond, Gems and Jewellery"
29.,Goenka Diamond,1.11,,35.15,0.00,-0.74,11.90,0.27,22.73,-0.55,"Diamond, Gems and Jewellery"
30.,SJ Corp,41.89,3500.00,35.00,0.00,-0.09,-80.00,2.17,-78.32,0.11,"Diamond, Gems and Jewellery"
31.,Sagar Diamonds,26.39,,33.37,0.00,-77.29,,0.00,,27.90,"Diamond, Gems and Jewellery"
32.,Mini Diamonds(I),80.76,19.09,28.82,0.00,0.70,736.36,84.70,53.92,10.25,"Diamond, Gems and Jewellery"
33.,Deep Diamond,5.94,47.51,19.03,0.00,0.53,-13.11,0.86,-42.67,,"Diamond, Gems and Jewellery"
34.,S.M. Gold,17.49,14.75,17.55,0.00,0.40,42.86,35.28,47.25,6.89,"Diamond, Gems and Jewellery"
35.,Orosil Smiths,4.08,,16.86,0.00,-0.07,,0.13,-7.14,-15.48,"Diamond, Gems and Jewellery"
36.,Koura Fine Diamo,45.50,43.14,16.39,0.00,0.21,,30.96,,17.45,"Diamond, Gems and Jewellery"
37.,Sover. Diamonds,28.01,11.76,16.22,0.00,0.33,-13.16,8.07,8.76,10.60,"Diamond, Gems and Jewellery"
38.,Shukra Bullions,26.78,672.00,13.44,0.00,0.15,87.50,0.59,-3.28,1.39,"Diamond, Gems and Jewellery"
39.,Shoora Designs,48.30,,7.24,0.00,-0.08,,3.60,,1.26,"Diamond, Gems and Jewellery"
40.,Neogem India,3.09,,2.53,0.00,-0.04,,0.00,,-3.38,"Diamond, Gems and Jewellery"
41.,Turner Industrie,0.60,,0.24,0.00,0.00,,0.00,,-12.37,"Diamond, Gems and Jewellery"
,Median: 41 Co.,62.65,33.74,94.54,0.0,0.53,7.5,50.7,9.69,10.29,"Diamond, Gems and Jewellery"
