S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Zomato Ltd,208.65,524.68,184175.08,0.00,175.00,193.09,3562.00,73.25,1.77,E-Commerce/App based Aggregator
2.,Info Edg.(India),6766.95,135.36,87553.58,0.32,87.96,153.17,657.42,8.70,4.36,E-Commerce/App based Aggregator
3.,FSN E-Commerce,173.75,1538.19,49637.46,0.00,9.07,205.29,1667.98,28.14,6.84,E-Commerce/App based Aggregator
4.,One 97,421.45,,26803.92,0.00,-550.50,-228.12,2267.10,-2.89,-10.19,E-Commerce/App based Aggregator
5.,Indiamart Inter.,2702.05,48.45,16206.69,0.74,99.60,78.49,314.70,17.08,23.93,E-Commerce/App based Aggregator
6.,Just Dial,1035.90,63.15,8809.30,0.00,115.74,100.12,270.27,16.23,4.81,E-Commerce/App based Aggregator
7.,Easy Trip Plann.,42.07,49.05,7455.00,0.24,-15.08,84.70,164.04,40.69,40.14,E-Commerce/App based Aggregator
8.,MSTC,869.45,29.95,6120.94,1.72,48.45,-37.04,199.07,1.29,34.66,E-Commerce/App based Aggregator
9.,Yatra Online,130.55,,2048.56,0.00,5.58,-37.79,107.67,-9.63,3.56,E-Commerce/App based Aggregator
10.,Creative Newtech,819.50,23.98,1156.63,0.06,20.36,215.66,304.15,-23.41,26.48,E-Commerce/App based Aggregator
11.,Vasa Denticity,598.00,63.49,957.77,0.00,8.80,,95.06,,115.61,E-Commerce/App based Aggregator
12.,Macfos,769.95,66.96,725.05,0.00,7.00,,72.15,,,E-Commerce/App based Aggregator
13.,Wise Travel,301.00,30.87,716.73,0.00,11.88,,220.71,,51.91,E-Commerce/App based Aggregator
14.,MOS Utility,156.05,37.15,389.12,0.00,4.65,,90.84,,40.13,E-Commerce/App based Aggregator
15.,Nureca,278.30,,278.30,0.00,-4.15,-171.24,16.97,-20.07,-4.02,E-Commerce/App based Aggregator
16.,Intrasoft Tech.,130.60,21.73,213.06,0.00,2.36,-3.67,121.50,2.96,7.64,E-Commerce/App based Aggregator
17.,Kaushalya,91.50,18.63,169.55,0.00,4.79,,587.29,,28.09,E-Commerce/App based Aggregator
18.,Digidrive Dist.,37.07,35.21,142.95,0.00,3.98,-30.30,10.62,3.51,3.53,E-Commerce/App based Aggregator
19.,IBL Finance,52.60,57.05,130.08,0.00,0.95,,7.60,,16.86,E-Commerce/App based Aggregator
20.,Suvidhaa Info.,5.56,,116.65,0.00,-3.43,-376.61,2.09,-74.73,-24.79,E-Commerce/App based Aggregator
21.,Yaari Digital,10.50,,105.46,0.00,-6.70,90.54,0.00,,-401.89,E-Commerce/App based Aggregator
22.,Ahasolar Technol,327.05,2520.19,100.81,0.00,0.81,,29.16,,1.51,E-Commerce/App based Aggregator
23.,Womancart,220.00,32.59,92.57,0.00,1.61,,18.71,,85.01,E-Commerce/App based Aggregator
24.,Mish Designs,249.00,86.07,69.72,0.00,0.56,,8.88,,28.96,E-Commerce/App based Aggregator
25.,Pace E-Commerce,29.01,27.35,65.35,0.00,2.12,,29.59,,5.41,E-Commerce/App based Aggregator
,Median: 32 Co.,143.32,48.75,191.31,0.0,1.87,0.0,75.25,3.51,5.11,E-Commerce/App based Aggregator
26.,Olympia Industri,73.70,56.15,44.35,0.00,0.20,-41.18,53.10,6.20,5.90,E-Commerce/App based Aggregator
27.,Net Avenue,16.30,,34.97,0.00,-2.22,,12.85,,-37.72,E-Commerce/App based Aggregator
28.,Citizen Infoline,35.76,1930.00,19.30,0.00,-0.01,-133.33,1.28,-52.24,0.22,E-Commerce/App based Aggregator
29.,Mitshi India,20.00,30.32,17.60,0.00,0.04,113.79,3.43,12.83,-25.13,E-Commerce/App based Aggregator
30.,iStreet Network,3.79,,8.07,0.00,-0.03,0.00,0.00,,,E-Commerce/App based Aggregator
31.,Fone4 Communica.,4.70,,8.01,0.00,-6.42,,78.36,,-39.32,E-Commerce/App based Aggregator
32.,JLA Infraville,4.26,25.15,2.77,0.00,0.06,,0.00,,2.21,E-Commerce/App based Aggregator
,Median: 32 Co.,143.32,48.75,191.31,0.0,1.87,0.0,75.25,3.51,5.11,E-Commerce/App based Aggregator
