S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Veranda Learning,247.00,,1711.05,0.00,-38.54,0.36,102.61,111.96,-0.40,Education
2.,Shanti Educat.,84.30,426.80,1357.24,0.00,-0.86,-125.52,1.75,-84.08,7.34,Education
3.,Drone Destinatio,430.75,147.85,1046.73,0.00,6.69,,26.35,,51.46,Education
4.,Career Point,394.00,12.59,716.78,0.78,14.29,187.42,25.65,3.30,14.02,Education
5.,Addictive Learn,314.00,76.50,499.56,0.00,2.79,,32.98,,440.99,Education
6.,Vantage Knowledg,437.70,326.94,454.44,0.00,0.19,-73.61,2.01,41.55,20.51,Education
7.,CL Educate,82.45,31.47,445.66,0.00,1.88,-82.97,73.07,8.25,7.62,Education
8.,Droneacharya Aer,151.45,59.77,363.31,0.00,,,,,,Education
9.,Global Education,169.94,11.38,346.01,2.94,5.62,-43.46,17.42,-20.78,54.60,Education
10.,Lucent Industrie,123.65,,185.48,0.00,-0.01,50.00,0.00,,-0.64,Education
11.,VJTF Eduservices,93.10,112.47,163.85,0.00,0.54,7183.33,0.22,,6.17,Education
12.,Winsome Brew.,57.05,276.95,157.86,0.00,0.62,-6.06,0.44,-29.03,1.61,Education
13.,Tree House Edu.,27.60,,116.79,0.00,-1.25,-146.47,1.94,-62.76,0.07,Education
14.,G-Tec Janix,80.85,,82.39,0.00,-0.47,-181.03,1.76,-20.00,2.59,Education
15.,Arihant Academy,125.80,49.14,76.18,0.00,2.45,,14.75,,9.16,Education
16.,LCC Infotech,4.24,,53.68,0.00,-35.72,-187.76,0.02,-98.23,-1.59,Education
17.,DSJ Keep Learn,2.94,143.07,45.78,0.00,0.08,166.67,1.87,19.87,22.66,Education
18.,Docmode Health,130.00,215.04,40.86,0.00,-1.17,,16.40,,16.74,Education
19.,Moxsh Overseas,172.80,,38.72,0.00,-2.44,,2.80,,-17.46,Education
20.,Virtual Global,0.91,,38.52,0.00,-1.84,-9100.00,0.04,-75.00,,Education
21.,Humming Bird Edu,570.00,873.50,34.94,0.53,-0.42,,1.56,,5.37,Education
22.,Ascensive Educa.,68.00,21.04,27.77,,0.66,,12.11,,22.25,Education
23.,MT Educare,3.28,,23.70,0.00,-10.40,66.56,9.63,5.36,-8.38,Education
24.,Ironwood Educa,24.10,,19.07,0.00,-5.75,65.67,1.47,182.69,-3.87,Education
25.,Kuberan Global,15.50,,3.27,,-0.02,,0.44,,-0.74,Education
,Median: 26 Co.,88.7,112.47,99.59,0.0,-0.02,-43.46,1.94,-8.35,5.77,Education
26.,ACE EduTremd Ltd,3.07,,2.81,0.00,-0.02,-100.00,0.00,,-1.13,Education
,Median: 26 Co.,88.7,112.47,99.59,0.0,-0.02,-43.46,1.94,-8.35,5.77,Education
