S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Sun TV Network,786.25,16.11,30984.89,2.11,414.94,9.08,961.28,14.39,26.32,Entertainment
2.,PVR Inox,1476.45,,14489.21,0.00,-129.70,60.66,1256.40,9.90,4.82,Entertainment
3.,Zee Entertainmen,150.20,44.48,14427.05,0.00,13.35,115.54,2169.92,2.74,6.62,Entertainment
4.,Saregama India,548.20,53.53,10580.79,0.73,53.90,23.37,263.05,29.16,19.41,Entertainment
5.,TV18 Broadcast,45.39,,7781.49,0.00,-137.22,-363.12,2329.58,65.70,0.12,Entertainment
6.,Tips Industries,458.40,46.05,5859.81,1.34,25.76,40.53,63.26,21.61,106.57,Entertainment
7.,Wonderla Holiday,915.40,32.79,5178.71,0.27,22.61,-35.49,99.69,1.11,20.61,Entertainment
8.,Prime Focus,150.30,,4507.07,0.00,-80.41,-136.76,873.10,-39.18,-0.54,Entertainment
9.,Imagica. Enter.,77.26,123.77,4189.96,0.00,4.84,-96.91,56.63,5.08,3.40,Entertainment
10.,Dish TV India,15.75,,2900.04,0.00,-1989.69,-1761.07,406.95,-19.39,,Entertainment
11.,Den Networks,54.99,12.36,2624.26,0.00,77.05,-38.95,258.02,-8.80,7.30,Entertainment
12.,Media Matrix,18.16,410.53,2057.08,0.00,2.34,1407.69,280.31,7.63,5.56,Entertainment
13.,GTPL Hathway,177.95,18.68,2001.27,2.24,16.05,462.09,807.98,16.69,11.84,Entertainment
14.,Vasu Bhagnani,310.00,162.11,1311.41,0.00,5.57,992.16,7.52,-54.20,15.05,Entertainment
15.,Basilic Fly Stud,564.00,36.17,1310.74,0.00,17.27,,50.73,,146.95,Entertainment
16.,Ent.Network,263.00,39.90,1253.76,0.38,8.85,219.04,150.66,20.04,5.64,Entertainment
17.,Panorama Studios,920.80,32.29,1228.96,0.00,27.50,643.24,283.36,382.48,44.78,Entertainment
18.,Zee Media,15.00,,938.15,0.00,-6.51,121.49,178.98,21.19,-18.34,Entertainment
19.,Balaji Telefilms,70.30,36.81,713.74,0.00,-2.61,-136.25,135.11,-6.52,8.58,Entertainment
20.,Nicco Parks,148.10,27.98,693.11,1.10,4.94,35.34,18.32,-3.02,40.06,Entertainment
21.,Sri Adhik. Bros.,265.75,,674.29,0.00,-5.35,1.47,2.45,,,Entertainment
22.,Phantom Digital,457.00,25.73,620.58,0.00,13.72,95.00,48.26,101.70,66.93,Entertainment
23.,Music Broadcast,16.26,82.16,562.09,0.00,2.97,485.71,62.63,21.82,3.62,Entertainment
24.,Raj Television,95.00,608.86,493.17,0.00,0.99,-34.44,16.20,-58.12,2.26,Entertainment
25.,Cineline India,133.25,,456.61,0.00,-6.50,7.14,53.71,20.02,7.59,Entertainment
,Median: 82 Co.,26.66,37.48,90.71,0.0,0.17,8.11,9.78,7.46,3.39,Entertainment
