S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Hind. Unilever,2502.05,57.26,587879.46,1.67,2561.00,-1.59,15210.00,-0.03,27.24,FMCG
2.,Nestle India,2547.45,62.61,245614.21,0.61,934.17,25.79,5267.59,9.05,169.08,FMCG
3.,Varun Beverages,1616.55,97.02,210061.05,0.15,547.98,25.22,4317.31,10.90,28.82,FMCG
4.,Godrej Consumer,1376.10,73.41,140750.22,1.09,-1893.21,2.65,3385.61,5.80,19.33,FMCG
5.,Britannia Inds.,5431.00,61.26,130815.61,1.35,536.61,-3.76,4069.36,1.15,48.92,FMCG
6.,Dabur India,609.40,59.67,108004.65,0.89,341.22,16.55,2814.64,5.11,22.28,FMCG
7.,Colgate-Palmoliv,2885.00,58.64,78467.84,1.67,379.82,19.59,1490.01,10.32,96.80,FMCG
8.,P & G Hygiene,16630.95,72.44,53985.30,0.63,154.37,-6.45,1002.17,13.48,100.63,FMCG
9.,Emami,739.05,44.24,32259.55,1.09,146.75,3.62,891.24,6.61,32.56,FMCG
10.,Hatsun Agro,1097.60,91.46,24448.83,0.52,52.16,108.72,2046.87,14.38,13.65,FMCG
11.,Gillette India,7251.80,60.98,23633.62,1.16,99.09,-3.52,680.74,9.96,52.01,FMCG
12.,Bikaji Foods,714.00,66.31,17877.25,0.14,116.11,216.12,606.21,32.29,29.60,FMCG
13.,Jyothy Labs,473.60,48.81,17390.97,0.75,78.15,32.39,659.99,6.98,26.99,FMCG
14.,Zydus Wellness,2087.30,47.26,13281.96,0.25,150.30,-1.44,782.60,9.76,5.37,FMCG
15.,L T Foods,254.80,14.90,8848.00,0.20,150.24,16.05,2074.81,13.91,21.13,FMCG
16.,Avanti Feeds,617.00,23.53,8406.36,1.00,112.60,7.52,1283.51,17.43,21.16,FMCG
17.,Mrs Bectors,1397.80,58.59,8221.48,0.21,33.62,21.59,406.39,17.43,25.34,FMCG
18.,KRBL,313.30,12.01,7171.06,0.32,114.08,-3.31,1318.30,2.97,15.85,FMCG
19.,Hindustan Foods,559.80,68.96,6413.85,0.00,22.94,13.40,730.96,10.80,15.37,FMCG
20.,Dodla Dairy,1046.60,38.10,6226.48,0.00,46.83,107.86,787.45,8.72,22.08,FMCG
21.,Heritage Foods,556.90,48.56,5167.83,0.46,40.50,125.88,950.57,16.26,16.84,FMCG
22.,Gopal Snacks,331.50,41.46,4130.62,0.00,26.11,-4.15,358.73,8.04,32.00,FMCG
23.,Manorama Indust.,677.00,100.59,4034.86,0.06,12.50,25.00,129.33,27.12,13.38,FMCG
24.,Bajaj Consumer,262.00,24.05,3741.18,1.91,35.58,-12.06,239.96,-3.79,23.20,FMCG
25.,Vadilal Inds.,4356.50,21.45,3132.32,0.03,27.64,-3.96,251.45,-1.87,27.21,FMCG
,Median: 119 Co.,153.0,42.75,186.38,0.0,1.98,14.29,51.03,5.59,14.2,FMCG
26.,Tasty Bite Eat.,10415.55,64.36,2672.64,0.02,2.55,-72.07,108.91,-0.65,16.66,FMCG
27.,HMA Agro Inds.,53.33,26.58,2670.62,0.55,1.54,-91.01,1390.14,65.74,14.20,FMCG
28.,ADF Foods,239.45,35.65,2630.69,0.48,25.04,55.62,153.63,24.79,21.69,FMCG
29.,Parag Milk Foods,183.05,24.14,2185.23,0.00,9.81,-56.11,790.12,-1.35,10.97,FMCG
30.,Prataap Snacks,912.75,40.49,2179.08,0.11,12.38,-42.71,388.10,0.38,10.76,FMCG
31.,Agro Tech Foods.,788.40,227.12,1921.35,0.37,1.48,-102.39,178.41,-11.67,2.66,FMCG
32.,Mishtann Foods,17.30,5.34,1838.72,0.01,94.18,566.05,337.58,99.88,88.74,FMCG
33.,AVT Natural Prod,86.85,24.84,1322.72,0.90,10.96,-22.49,125.02,-6.90,15.93,FMCG
34.,GRM Overseas,196.50,19.43,1179.00,0.22,21.17,87.68,405.93,-6.39,14.29,FMCG
35.,Chamanlal Setia,207.70,9.27,1074.53,0.48,23.25,-38.39,383.53,7.38,20.32,FMCG
36.,Sarveshwar Foods,10.33,60.36,1011.14,0.00,4.14,128.73,247.32,90.52,11.42,FMCG
37.,Foods & Inns,150.05,23.88,877.75,0.17,5.23,-65.41,345.22,3.75,15.13,FMCG
38.,Lotus Chocolate,671.10,498.09,861.73,0.00,1.18,,65.82,,,FMCG
39.,KSE,2480.00,38.69,793.60,0.81,18.93,622.28,416.58,5.34,13.02,FMCG
40.,SKM Egg Prod.,261.05,8.07,687.35,0.93,10.05,-66.17,162.28,-13.07,35.18,FMCG
41.,TBI Corn,364.00,65.44,660.96,0.00,3.43,,87.89,,31.33,FMCG
42.,Sheetal Cool,578.20,29.12,607.12,0.00,7.13,91.67,84.75,39.23,19.66,FMCG
43.,Annapurna Swadi.,326.00,40.33,573.42,0.00,7.65,,133.84,,29.18,FMCG
44.,Krishival Foods,226.00,52.44,503.87,0.07,4.58,1316.67,51.03,105.82,22.58,FMCG
45.,Milkfood,699.00,59.85,426.00,0.36,3.88,21.25,121.69,-8.81,8.19,FMCG
46.,Euro India Fresh,137.87,156.13,341.90,0.00,-0.15,-153.57,26.36,-24.34,6.39,FMCG
47.,Goyal Salt,190.00,36.00,340.10,0.00,7.04,,70.95,,50.28,FMCG
48.,Dindigul Farm,137.35,64.90,335.54,0.00,,,,,131.86,FMCG
49.,Megastar Foods,259.40,47.57,292.94,0.00,0.85,-75.92,62.64,-21.84,9.76,FMCG
50.,Bambino Agro Ind,365.00,26.75,292.38,0.42,1.74,171.88,75.83,6.62,13.13,FMCG
,Median: 119 Co.,153.0,42.75,186.38,0.0,1.98,14.29,51.03,5.59,14.2,FMCG
51.,Yash Optics,109.80,30.20,271.93,0.00,4.73,,22.43,,46.11,FMCG
52.,Chatha Foods,117.25,42.75,263.79,0.00,2.76,,63.02,,29.09,FMCG
53.,Umang Dairies,113.05,192.80,248.74,0.00,6.33,911.54,70.23,-31.48,7.17,FMCG
54.,Madhusudan Masa,182.60,25.61,235.55,0.00,5.89,,107.94,,31.68,FMCG
55.,Wardwizard Foods,9.05,,232.67,0.00,-11.18,-61.10,2.72,0.00,-21.20,FMCG
56.,Ovobel Foods,197.00,11.58,206.85,0.00,-1.79,-112.20,28.88,-50.36,27.49,FMCG
57.,Galaxy Cloud,44.62,,200.51,0.00,-1.65,213.79,0.39,-83.88,,FMCG
58.,Aveer Foods,494.00,159.20,199.00,0.00,0.07,-93.86,25.40,5.39,10.27,FMCG
59.,Tanvi Foods,169.00,473.40,194.10,0.00,0.35,,42.08,,3.99,FMCG
60.,Srivari Spices &,261.00,26.50,186.38,0.00,,,,,,FMCG
61.,Kovil. Lak. Rol.,200.80,23.26,181.55,0.62,1.02,64.52,98.23,-5.32,15.80,FMCG
62.,JHS Sven.Lab.,22.39,,175.53,0.00,-0.75,-109.47,21.66,-0.28,-1.66,FMCG
63.,Kohinoor Foods,42.98,,159.34,0.00,0.55,263.64,24.18,51.22,4.92,FMCG
