S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Bajaj Finance,7151.75,30.60,442690.65,0.50,3824.53,21.11,14926.21,31.35,11.93,Finance
2.,Bajaj Finserv,1597.30,31.31,255034.79,0.06,4084.93,19.76,32040.84,35.62,11.72,Finance
3.,I R F C,178.05,36.29,232684.71,0.85,1717.32,33.62,6473.56,4.51,5.73,Finance
4.,Jio Financial,353.10,139.82,224334.37,0.00,310.63,,418.10,,1.55,Finance
5.,Power Fin.Corpn.,536.80,8.92,177149.46,2.04,7556.43,20.26,24141.40,20.34,9.85,Finance
6.,REC Ltd,576.05,10.74,151686.88,2.79,4079.09,33.07,12677.18,23.76,10.05,Finance
7.,Cholaman.Inv.&Fn,1425.25,35.05,119748.41,0.14,1065.23,24.56,5427.56,45.08,10.42,Finance
8.,Bajaj Holdings,9907.10,15.11,110256.08,1.35,2716.17,100.79,1211.84,1297.90,13.07,Finance
9.,Shriram Finance,2833.90,14.45,106529.58,1.58,2021.28,56.30,9904.30,24.33,11.23,Finance
10.,HDFC AMC,4178.20,45.82,89237.43,1.68,541.09,43.83,695.43,28.56,37.72,Finance
11.,Muthoot Finance,1812.00,17.92,72745.22,1.34,1056.29,17.02,3408.92,19.47,13.13,Finance
12.,SBI Cards,722.55,28.53,68718.28,0.35,662.37,11.05,4347.72,15.56,12.54,Finance
13.,H U D C O,319.05,30.19,63870.67,1.19,700.16,9.55,2065.22,11.49,9.24,Finance
14.,Aditya Birla Cap,237.50,18.53,61799.36,0.00,1288.11,104.62,10939.96,36.32,9.95,Finance
15.,Indian Renewable,221.40,47.51,59507.11,0.00,337.38,33.03,1391.25,34.29,9.30,Finance
16.,Sundaram Finance,4597.20,34.36,51074.88,0.64,472.41,-29.65,2155.89,45.32,9.21,Finance
17.,L&T Finance Ltd,189.00,20.31,47057.98,1.30,553.02,32.64,3671.77,13.23,8.22,Finance
18.,LIC Housing Fin.,794.50,9.19,43702.48,1.06,1081.91,-9.16,6948.21,8.04,,Finance
19.,Nippon Life Ind.,651.95,37.16,41187.87,2.50,342.92,73.17,468.27,34.43,36.24,Finance
