S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Apollo Hospitals,6219.90,99.62,89432.57,0.26,258.40,75.64,4943.90,14.92,15.55,Healthcare
2.,Max Healthcare,918.50,84.41,89270.09,0.11,251.54,0.25,1422.90,17.16,16.01,Healthcare
3.,Fortis Health.,469.60,60.32,35452.80,0.21,203.14,41.41,1785.88,8.72,10.38,Healthcare
4.,Global Health,1280.00,71.93,34368.96,0.00,127.35,26.00,808.63,14.37,19.32,Healthcare
5.,Narayana Hrudaya,1243.70,32.22,25416.35,0.33,190.79,10.15,1279.42,4.73,26.18,Healthcare
6.,Dr Lal Pathlabs,2861.20,66.75,23885.38,0.85,85.80,49.03,545.40,11.08,25.17,Healthcare
7.,Poly Medicure,2031.90,75.46,19500.47,0.15,68.36,16.24,378.07,23.21,23.43,Healthcare
8.,Aster DM Health.,344.85,137.72,17225.71,0.58,-2.17,-9.40,973.59,20.65,4.28,Healthcare
9.,Krishna Institu.,2135.90,55.07,17093.12,0.00,71.49,-29.81,633.80,10.05,16.71,Healthcare
10.,Rainbow Child.,1318.75,61.74,13385.48,0.23,51.06,-4.91,341.10,7.61,19.31,Healthcare
11.,Metropolis Healt,2033.60,81.53,10417.87,0.40,36.53,9.14,331.00,17.15,15.45,Healthcare
12.,Jupiter Life Lin,1274.90,55.00,8359.00,0.00,43.15,47.79,245.31,16.55,22.16,Healthcare
13.,Vijaya Diagnost.,793.55,67.67,8141.65,0.13,33.68,21.68,155.21,28.28,21.56,Healthcare
14.,Health.Global,373.95,132.23,5210.86,0.00,23.46,230.57,494.63,11.98,8.83,Healthcare
15.,Kovai Medical,4485.00,27.30,4906.60,0.22,52.18,70.75,321.12,20.28,22.27,Healthcare
16.,Yatharth Hospit.,420.90,31.60,3613.43,0.00,38.35,121.42,177.75,23.62,23.59,Healthcare
17.,Thyrocare Tech.,650.50,48.39,3444.58,2.77,19.23,93.66,141.23,13.15,18.62,Healthcare
18.,Shalby,278.25,36.00,3005.37,0.42,16.04,15.40,244.23,22.74,11.75,Healthcare
19.,Artemis Medicare,179.95,50.30,2463.83,0.25,13.92,33.85,216.87,15.95,13.61,Healthcare
20.,Krsnaa Diagnost.,690.75,38.10,2230.43,0.40,18.42,55.97,159.33,37.52,10.10,Healthcare
21.,Indrapr.Medical,239.00,17.67,2190.90,1.30,31.17,57.11,314.73,14.84,38.08,Healthcare
22.,Dr Agarwal's Eye,3236.00,32.83,1520.91,0.09,12.79,-6.51,80.72,16.28,18.01,Healthcare
23.,KMC Speciality,84.45,45.29,1377.43,0.00,7.09,-2.34,44.89,9.27,21.46,Healthcare
24.,GPT Healthcare,165.30,28.37,1356.37,1.50,12.82,23.75,99.43,3.49,30.31,Healthcare
25.,Vimta Labs,482.45,27.84,1069.62,0.41,11.80,-3.67,78.34,-3.04,16.82,Healthcare
,Median: 63 Co.,154.95,36.0,142.07,0.0,4.32,22.71,23.65,14.61,15.45,Healthcare
26.,3B Blackbio,1200.00,32.08,1029.93,0.20,8.79,69.36,23.00,27.00,20.95,Healthcare
27.,Prevest Denpro,611.30,45.50,733.74,0.16,4.66,-8.81,16.24,17.94,26.53,Healthcare
28.,Kaya Ltd,501.45,,655.10,0.00,-99.22,-75.98,95.55,3.19,-85.44,Healthcare
29.,Aashka Hospitals,120.05,119.03,280.91,0.00,1.93,,12.07,,4.67,Healthcare
30.,Unihealth Consul,121.20,18.10,186.65,0.00,6.05,,26.65,,25.39,Healthcare
31.,Hemant Surgical,165.95,17.69,173.27,0.00,5.88,,58.10,,44.76,Healthcare
32.,Asarfi Hospital,72.20,34.15,142.07,0.00,,,,,,Healthcare
33.,Lotus Eye Hospit,58.43,41.77,121.50,0.88,0.02,-95.38,10.88,-2.60,6.97,Healthcare
34.,Fortis Malar,64.51,,120.90,62.00,54.05,110.44,5.52,-73.28,-3.29,Healthcare
35.,Mohini Health,65.50,11.11,119.44,0.00,5.60,,98.36,,14.99,Healthcare
36.,One Global Serv,154.95,15.47,110.01,0.00,3.97,802.27,24.30,355.06,84.94,Healthcare
37.,Maitreya,136.00,31.24,92.16,0.00,-1.07,-146.52,12.32,8.17,15.86,Healthcare
38.,M E T S,165.00,18.40,90.91,0.00,2.58,86.96,14.17,48.38,23.28,Healthcare
39.,Jeevan Scienti.,51.45,,79.64,0.00,-0.73,68.26,11.07,39.60,-1.05,Healthcare
40.,Shree Pacetronix,211.05,22.59,75.96,0.00,1.43,-27.04,6.65,-11.57,34.10,Healthcare
41.,Deccan Healthcar,35.89,48.16,73.12,0.00,0.13,-58.06,15.97,0.69,2.55,Healthcare
42.,Transgene Biotek,8.85,,67.07,0.00,-0.27,81.63,0.05,,-2.11,Healthcare
43.,Amkay Products,73.80,24.30,63.88,0.00,1.33,,16.69,,32.32,Healthcare
44.,Sangani Hospital,45.00,22.96,62.00,0.00,1.66,,7.67,,20.04,Healthcare
45.,Aatmaj Health,26.70,68.56,60.34,0.00,-1.41,,7.17,,10.01,Healthcare
46.,N G Industries,171.00,11.41,57.29,2.05,1.94,68.70,4.07,-3.10,17.76,Healthcare
47.,Nidan Laborator.,37.10,24.81,51.57,0.00,-5.15,,12.35,,7.86,Healthcare
48.,Tejnaksh Health.,23.49,26.37,47.71,0.00,0.61,971.43,2.14,29.70,11.49,Healthcare
49.,Centenial Surgic,118.45,38.26,43.23,0.00,0.19,35.71,12.05,-7.45,10.22,Healthcare
50.,Medinova Diagno.,41.70,20.81,41.62,0.00,0.60,-22.08,2.49,-9.45,228.00,Healthcare
,Median: 63 Co.,154.95,36.0,142.07,0.0,4.32,22.71,23.65,14.61,15.45,Healthcare
51.,Family Care,7.60,3.27,41.05,0.65,8.58,560.00,4.24,-69.01,15.18,Healthcare
52.,Bandaram Pharma,31.96,39.56,38.36,0.32,0.19,-38.71,13.43,33.50,9.10,Healthcare
53.,Adeshwar Meditex,26.00,18.66,37.51,0.00,1.28,,33.59,,9.55,Healthcare
54.,KK Shah Hospital,48.00,53.57,32.68,0.00,0.37,,3.49,,13.92,Healthcare
55.,Global Longlife,31.05,,32.60,0.00,-3.22,,1.18,,-2.04,Healthcare
56.,Aspira Pathlab,30.27,,31.17,0.00,-0.50,-92.31,3.82,12.02,-13.19,Healthcare
57.,Chennai Meena,37.13,,27.74,0.00,-0.44,-276.00,9.55,-3.34,9.34,Healthcare
58.,Gian Lifecare,22.36,5.39,23.12,0.00,2.20,344.44,4.60,196.77,,Healthcare
59.,Soni Medicare,25.50,,10.88,0.00,-0.89,2.20,7.15,17.99,-6.58,Healthcare
60.,Dr Lalchand. Lab,23.69,16.56,10.27,0.00,0.71,,2.08,,6.53,Healthcare
61.,Dhanvantri Jeev.,20.26,48.84,8.30,0.00,-0.09,-350.00,5.44,9.68,2.77,Healthcare
62.,Looks Health,6.22,,6.53,0.00,-0.01,94.44,0.00,,-0.14,Healthcare
63.,Dolphin Medical,1.92,,2.90,0.00,-0.13,-30.00,0.14,75.00,-0.83,Healthcare
,Median: 63 Co.,154.95,36.0,142.07,0.0,4.32,22.71,23.65,14.61,15.45,Healthcare
