S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Indian Hotels Co,611.80,70.03,87085.54,0.29,438.33,27.26,1905.34,17.22,15.11,Hotels & Restaurants
2.,EIH,427.15,41.47,26712.42,0.25,247.59,85.73,741.34,16.37,23.61,Hotels & Restaurants
3.,Chalet Hotels,849.10,66.57,18518.88,0.00,82.44,78.95,418.26,23.79,9.88,Hotels & Restaurants
4.,Lemon Tree Hotel,146.50,78.15,11606.44,0.00,84.00,52.33,327.31,29.53,11.17,Hotels & Restaurants
5.,Juniper Hotels,434.05,405.77,9657.72,0.00,46.75,216.09,245.28,26.45,6.81,Hotels & Restaurants
6.,Mahindra Holiday,456.40,83.91,9217.10,0.00,83.21,46.26,800.19,12.45,9.24,Hotels & Restaurants
7.,I T D C,864.05,103.97,7410.91,0.25,15.71,63.61,147.88,-3.82,31.27,Hotels & Restaurants
8.,Samhi Hotels,188.25,,4142.50,0.00,11.29,109.47,279.16,36.32,6.83,Hotels & Restaurants
9.,Apeejay Surrend.,184.75,57.29,3942.09,0.00,18.43,73.87,155.68,8.05,12.52,Hotels & Restaurants
10.,EIH Assoc.Hotels,955.90,35.96,2912.64,0.62,36.81,40.66,132.50,22.88,25.23,Hotels & Restaurants
11.,Oriental Hotels,137.85,50.08,2462.01,0.37,19.33,-6.80,107.48,-3.52,10.69,Hotels & Restaurants
12.,TajGVK Hotels,333.85,28.11,2093.29,0.45,25.85,79.02,115.84,11.79,18.65,Hotels & Restaurants
13.,Praveg,838.10,159.51,2056.05,0.54,1.54,-70.21,32.52,73.72,9.37,Hotels & Restaurants
14.,HLV,25.14,69.61,1657.39,0.00,10.35,40.05,59.74,14.82,5.65,Hotels & Restaurants
15.,Benares Hotels,8894.50,31.92,1156.30,0.23,11.59,52.70,35.58,29.38,40.56,Hotels & Restaurants
16.,Royal Orch.Hotel,364.20,20.61,998.83,0.54,16.70,31.15,76.20,5.03,19.75,Hotels & Restaurants
17.,U P Hotels,1624.60,27.57,877.28,0.00,13.20,50.68,48.10,14.85,31.09,Hotels & Restaurants
18.,Speciality Rest.,178.30,29.21,857.58,1.40,3.38,-94.40,96.19,9.92,11.44,Hotels & Restaurants
19.,Viceroy Hotels,114.97,130.36,726.13,0.00,2.42,,41.19,28.04,2.48,Hotels & Restaurants
20.,Sayaji Hotels,380.00,46.46,665.70,0.00,8.01,42.78,33.76,-21.18,9.81,Hotels & Restaurants
21.,Advani Hotels.,70.49,26.15,651.61,3.41,10.59,-3.11,32.57,7.00,48.61,Hotels & Restaurants
22.,Gourmet Gateway,47.00,131.74,631.03,0.00,1.22,-60.77,37.22,2.08,11.66,Hotels & Restaurants
23.,Sinclairs Hotels,116.50,31.60,597.16,0.86,5.32,30.39,14.82,10.51,19.18,Hotels & Restaurants
24.,Kamat Hotels,227.00,28.95,588.06,0.00,2.13,-95.08,84.51,4.98,17.71,Hotels & Restaurants
25.,Country Club Hos,27.29,,446.18,0.00,6.15,-77.79,12.46,-9.58,-0.01,Hotels & Restaurants
,Median: 64 Co.,116.67,39.19,259.69,0.0,2.19,40.35,21.21,12.45,9.88,Hotels & Restaurants
26.,Sayaji (Indore),1300.00,55.24,396.07,0.00,4.85,24.04,27.27,-6.35,15.86,Hotels & Restaurants
27.,Apollo Sindoori,1508.75,35.44,392.33,0.10,1.72,-15.69,135.30,0.64,11.46,Hotels & Restaurants
28.,The Byke Hospi.,82.15,68.17,385.29,0.00,2.25,6.13,22.97,-14.29,4.50,Hotels & Restaurants
29.,Robust Hotels,191.00,69.67,330.27,0.00,2.06,113.92,37.85,25.71,2.63,Hotels & Restaurants
30.,Asian Hotels (N),164.45,,319.86,0.00,-15.21,-232.82,83.59,14.26,4.43,Hotels & Restaurants
31.,Graviss Hospital,41.10,96.29,289.85,0.00,1.01,-69.85,16.82,-7.58,2.11,Hotels & Restaurants
