S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,TCS,4035.00,31.35,1459898.35,1.37,12502.00,9.15,61237.00,3.51,64.28,IT - Software
2.,Infosys,1657.25,26.43,688094.88,2.33,7975.00,30.04,37923.00,1.29,39.99,IT - Software
3.,HCL Technologies,1525.00,26.26,413833.91,3.42,3995.00,0.13,28499.00,7.11,29.84,IT - Software
4.,Wipro,532.50,25.55,278506.23,0.19,2858.20,-7.80,22208.30,-4.23,16.93,IT - Software
5.,LTIMindtree,5452.80,35.22,161491.96,1.19,1100.70,-1.24,8892.90,2.32,31.17,IT - Software
6.,Tech Mahindra,1464.35,60.71,143196.18,2.67,664.20,-40.86,12871.30,-6.17,11.88,IT - Software
7.,Oracle Fin.Serv.,10497.95,41.05,91029.68,2.26,560.12,16.86,1642.44,11.69,39.54,IT - Software
8.,Persistent Sys,4732.70,68.14,72907.27,0.57,315.32,25.37,2590.53,14.91,29.17,IT - Software
9.,PB Fintech.,1430.85,1013.01,65251.62,0.00,60.19,772.51,1089.57,25.37,1.75,IT - Software
10.,L&T Technology,5061.90,44.89,53569.73,0.99,329.30,2.05,2351.20,9.23,33.40,IT - Software
11.,Mphasis,2595.65,31.76,49081.83,2.11,393.22,-2.98,3412.05,1.51,23.95,IT - Software
12.,KPIT Technologi.,1747.95,80.93,47918.93,0.24,165.92,46.78,1317.80,29.53,38.36,IT - Software
13.,Tata Elxsi,7085.30,55.76,44124.73,0.98,196.93,-2.28,905.94,8.12,42.74,IT - Software
14.,Tata Technolog.,1009.90,60.29,40968.41,0.83,157.24,-27.39,1301.05,-7.23,28.29,IT - Software
15.,Coforge,5874.80,48.99,39181.28,1.31,229.20,42.25,2358.50,8.69,28.32,IT - Software
16.,Cyient,1823.20,27.82,20222.24,1.65,196.90,7.82,1860.80,6.25,21.88,IT - Software
17.,Birlasoft Ltd,721.40,31.85,19916.35,0.89,180.08,60.54,1362.55,11.10,30.06,IT - Software
18.,Affle India,1364.40,64.34,19130.17,0.00,87.49,40.25,506.22,42.27,16.25,IT - Software
19.,Sonata Software,650.45,44.42,18240.26,1.25,110.36,-3.00,2191.61,14.53,35.49,IT - Software
20.,Zensar Tech.,750.70,25.57,17016.04,0.67,173.30,45.39,1229.70,1.41,25.63,IT - Software
21.,Firstsour.Solu.,234.00,32.06,16495.07,1.48,133.50,-5.52,1670.46,7.30,15.42,IT - Software
22.,BLS Internat.,371.70,48.90,15304.41,0.20,85.45,56.09,447.71,-0.21,30.63,IT - Software
23.,Intellect Design,1086.90,45.22,14915.64,0.32,73.35,-19.51,613.67,-0.30,20.32,IT - Software
24.,Newgen Software,978.85,57.82,13732.44,0.39,101.23,31.18,349.68,23.37,26.88,IT - Software
25.,C.E. Info System,2427.05,97.95,13123.54,0.13,38.25,35.40,106.90,47.51,,IT - Software
,Median: 256 Co.,112.3,35.6,188.5,0.0,1.83,26.12,20.68,10.4,13.06,IT - Software
26.,Tanla Platforms,966.95,23.70,13001.58,1.23,130.23,8.27,1005.52,20.64,38.13,IT - Software
27.,Happiest Minds,832.65,53.19,12679.19,0.69,71.98,8.93,417.29,10.40,21.57,IT - Software
28.,eClerx Services,2524.00,24.14,12374.01,0.04,129.89,-1.87,766.53,10.59,32.30,IT - Software
29.,Route Mobile,1779.80,30.90,11175.14,0.63,95.16,-14.73,1017.03,0.83,20.61,IT - Software
30.,Latent View,507.00,65.83,10444.09,0.00,45.24,32.24,171.64,21.68,15.23,IT - Software
31.,Rategain Travel,798.60,64.79,9416.19,0.00,50.02,48.03,255.81,39.84,17.34,IT - Software
32.,Mastek,2873.55,29.13,8865.45,0.68,94.41,26.86,779.73,9.95,18.13,IT - Software
33.,Aurionpro Sol.,1535.60,60.16,8478.57,0.09,39.47,53.43,246.87,29.48,22.31,IT - Software
34.,Infibeam Avenues,30.08,53.70,8368.26,0.17,49.24,28.13,726.85,11.37,6.25,IT - Software
35.,eMudhra,887.55,97.57,7350.02,0.14,21.21,32.91,99.69,29.79,17.66,IT - Software
36.,Magellanic Cloud,624.50,71.05,7299.13,0.02,39.43,116.10,137.21,19.64,26.98,IT - Software
37.,NIIT Learning,475.40,29.79,6448.99,0.53,54.44,-3.06,397.91,3.17,33.35,IT - Software
38.,Black Box,372.60,36.50,6262.53,0.00,40.90,14.83,1480.35,-11.98,30.43,IT - Software
39.,R Systems Intl.,524.00,47.01,6199.16,1.36,27.49,-23.30,416.64,3.11,26.08,IT - Software
40.,Moschip Tech.,302.85,577.93,5710.20,0.00,0.87,-42.76,75.42,40.11,6.62,IT - Software
41.,Protean eGov,1409.05,58.57,5699.06,0.00,19.29,-38.98,222.08,-4.27,14.30,IT - Software
42.,Blue Cloud Soft.,227.50,308.57,4962.74,0.00,8.58,,213.09,,,IT - Software
43.,Datamatics Glob.,672.55,20.14,3970.16,0.56,52.10,-10.88,412.71,-0.86,21.98,IT - Software
44.,Hinduja Global,847.40,30.05,3942.13,1.76,87.92,247.24,1098.71,2.70,3.02,IT - Software
45.,Nucleus Soft.,1436.80,23.05,3846.77,0.90,52.14,-22.93,210.26,1.97,31.98,IT - Software
46.,Cigniti Tech.,1381.65,22.77,3771.92,0.22,27.14,-44.88,455.64,7.22,31.17,IT - Software
47.,Zaggle Prepaid,293.90,81.81,3599.71,0.00,19.16,153.44,273.37,46.30,17.25,IT - Software
48.,MPS,2086.55,30.03,3569.22,3.61,28.71,-10.64,149.42,17.23,36.20,IT - Software
49.,Network People,1760.00,127.66,3411.96,0.00,16.56,260.77,75.11,207.14,122.86,IT - Software
50.,Saksoft,287.75,31.78,3050.46,0.28,23.20,-7.16,194.90,7.05,27.74,IT - Software
,Median: 256 Co.,112.3,35.6,188.5,0.0,1.83,26.12,20.68,10.4,13.06,IT - Software
51.,Vertoz Advertis.,702.00,188.28,2971.03,0.00,4.69,8.78,45.66,33.04,13.02,IT - Software
52.,Sasken Technol.,1856.75,35.58,2799.64,1.36,17.21,0.70,108.99,5.93,12.43,IT - Software
53.,Quick Heal Tech,512.00,113.11,2741.46,0.48,14.04,311.45,80.03,62.40,6.15,IT - Software
54.,Accelya Solution,1739.90,22.32,2597.67,3.73,0.20,-21.29,130.99,9.65,56.12,IT - Software
55.,RPSG Ventures,747.45,12.58,2473.05,0.00,-94.78,22.96,2019.97,12.73,12.47,IT - Software
56.,AXISCADES Tech.,585.00,74.80,2453.96,0.00,8.99,-45.25,255.82,13.20,13.67,IT - Software
57.,Kody Technolab,3750.00,488.77,2390.18,0.00,4.09,,16.68,,56.99,IT - Software
58.,Vakrangee,22.48,602.92,2381.77,0.22,2.19,267.65,53.89,5.79,7.32,IT - Software
59.,Genesys Intl.,595.95,109.16,2359.90,0.00,14.79,639.50,71.17,52.66,8.40,IT - Software
60.,E2E Networks,1610.05,106.64,2332.44,0.00,3.53,39.53,29.41,67.20,25.04,IT - Software
61.,BLS E-Services,251.35,72.77,2283.71,0.00,10.91,20.35,73.65,1.29,16.58,IT - Software
62.,Expleo Solutions,1294.50,22.22,2009.06,0.39,15.70,-45.97,255.41,10.53,20.47,IT - Software
63.,Subex,32.00,,1803.79,0.00,-156.51,60.85,83.80,77.28,-5.35,IT - Software
64.,Brightcom Group,8.91,1.27,1797.97,0.00,321.48,15.96,1690.32,14.16,30.91,IT - Software
65.,Allsec Tech.,1157.85,27.58,1764.55,3.88,20.73,71.04,129.71,20.12,31.54,IT - Software
66.,Trident Techlabs,985.45,181.73,1702.96,0.00,12.46,,64.24,,38.12,IT - Software
67.,63 Moons Tech.,366.05,8.04,1686.70,0.54,3.82,144.27,37.53,-66.37,6.70,IT - Software
68.,Technvision Ven.,2649.95,123.01,1664.18,0.00,8.87,195.67,51.45,22.47,78.17,IT - Software
69.,Dynacons Sys.,1249.95,29.45,1589.09,0.04,14.29,17.42,282.25,24.71,44.20,IT - Software
70.,One Point One,69.54,69.47,1485.34,0.00,6.66,125.76,52.36,46.75,22.60,IT - Software
71.,Sahana Systems,1845.00,98.11,1475.36,0.00,11.13,,31.54,,123.60,IT - Software
72.,Xchanging Sol.,124.55,101.45,1387.48,25.69,12.38,12.34,44.46,-2.86,11.94,IT - Software
73.,Alphalogic Tech.,286.70,325.10,1343.34,0.00,1.18,-25.38,17.75,106.16,17.09,IT - Software
74.,Ksolves India,1130.00,39.14,1339.74,1.69,9.58,33.43,30.36,35.17,197.29,IT - Software
75.,ASM Technologies,1198.70,,1315.23,0.08,-3.39,-1229.63,44.59,-14.15,-0.91,IT - Software
,Median: 256 Co.,112.3,35.6,188.5,0.0,1.83,26.12,20.68,10.4,13.06,IT - Software
76.,Ramco Systems,356.95,,1266.78,0.00,-22.99,49.37,131.20,3.95,-46.54,IT - Software
77.,Allied Digital,225.80,27.32,1251.67,0.52,14.11,48.53,176.76,6.33,10.61,IT - Software
78.,InfoBeans Tech.,471.80,51.17,1149.71,0.22,9.24,94.94,96.94,5.43,11.67,IT - Software
79.,Kellton Tech,111.65,16.98,1087.46,0.00,23.93,357.55,247.84,2.11,16.17,IT - Software
80.,Innovana Think.,520.00,25.83,1066.00,0.05,8.84,-11.24,21.74,-16.99,35.07,IT - Software
81.,Tracxn Technolo.,97.85,156.72,1018.75,0.00,1.43,-94.16,20.32,-0.10,13.29,IT - Software
82.,DigiSpice Tech.,43.56,62.67,1012.57,0.00,37.53,398.27,106.09,-1.10,11.29,IT - Software
83.,Veefin Solutions,445.75,136.16,1006.19,0.00,6.41,,15.92,,22.29,IT - Software
84.,Onward Technolog,423.05,28.34,955.20,1.21,6.68,-7.73,118.44,-2.41,21.69,IT - Software
85.,Aurum Proptech,158.15,,952.95,0.00,-4.65,45.57,59.81,31.86,-11.99,IT - Software
86.,Silver Touch,720.50,56.90,913.67,0.07,6.32,54.52,78.80,79.34,20.01,IT - Software
87.,NINtec Systems,480.45,63.42,892.49,0.00,4.67,143.23,19.31,85.49,67.66,IT - Software
88.,Ceinsys Tech,543.65,25.41,888.31,0.36,11.61,-45.31,78.27,7.29,21.82,IT - Software
89.,Mindteck (India),337.20,31.45,857.57,0.31,6.48,19.78,97.90,10.32,16.41,IT - Software
90.,R S Software (I),281.30,40.02,723.17,0.00,6.71,613.83,18.23,48.82,44.35,IT - Software
91.,FCS Software,4.14,129.44,707.75,0.00,-1.13,13875.00,9.60,15.80,3.13,IT - Software
92.,VL E-Governance,66.29,,702.35,0.00,-163.47,66.48,0.00,-100.00,-0.30,IT - Software
93.,3i Infotech,40.37,,683.36,0.00,-99.08,-104.23,197.04,3.45,-6.65,IT - Software
