S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Data Infr.Trust,148.00,46.35,38524.40,,241.30,-24.97,3450.90,27.17,7.27,Infrastructure Investment Trusts
2.,IRB Infra. Trust,220.22,,24525.75,,-392.89,-256.54,2431.21,99.11,2.49,Infrastructure Investment Trusts
3.,National High,132.36,63.48,17368.29,,65.73,-13.74,240.57,10.45,2.71,Infrastructure Investment Trusts
4.,India Grid Trust,137.40,46.09,10767.67,10.27,58.48,-58.75,813.54,31.70,7.08,Infrastructure Investment Trusts
5.,Powergrid Infra.,96.00,8.54,8735.99,,253.61,75.11,231.63,-7.11,12.83,Infrastructure Investment Trusts
6.,India Infr Trust,92.00,7.50,6108.80,,133.07,,1378.37,,10.84,Infrastructure Investment Trusts
7.,Bharat Hig.InvIT,105.97,316.94,4693.82,,,,,,,Infrastructure Investment Trusts
8.,NDR INVIT Trust,103.75,216.97,3994.38,,,,,,,Infrastructure Investment Trusts
9.,IRB InvIT Fund,66.95,10.42,3886.46,,184.00,-19.41,543.69,1.12,9.37,Infrastructure Investment Trusts
,Median: 9 Co.,105.97,46.22,8735.99,10.27,133.07,-22.19,813.54,18.81,7.27,Infrastructure Investment Trusts
