S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Metro Brands,1217.25,80.24,33099.85,0.32,155.57,126.56,582.98,7.14,19.65,Leather
2.,Relaxo Footwear,833.80,103.52,20756.52,0.30,61.39,-3.02,747.21,-2.32,13.63,Leather
3.,Bata India,1495.00,65.88,19214.85,0.80,63.65,-3.00,797.87,2.48,18.26,Leather
4.,Campus Activewe.,301.00,102.74,9189.62,0.00,32.75,42.76,363.86,4.63,16.69,Leather
5.,Mayur Uniquoters,646.25,23.78,2840.42,0.31,31.98,16.80,216.10,8.70,18.90,Leather
6.,Liberty Shoes,407.20,47.12,693.86,0.62,4.98,5088.24,169.64,2.15,9.45,Leather
7.,Khadim India,366.30,105.76,664.23,0.00,1.03,-75.99,143.64,-9.78,7.22,Leather
8.,Mirza Internatio,46.05,52.80,636.46,0.00,1.19,-63.04,152.43,-5.25,4.95,Leather
9.,Bhartiya Intl.,485.00,3116.60,592.15,0.00,1.41,-97.42,179.66,22.40,5.47,Leather
10.,Lehar Footwears,161.20,43.47,284.99,0.14,1.22,-28.65,38.06,-24.47,9.17,Leather
11.,Superhouse Ltd,217.95,19.24,240.30,0.37,3.63,-49.30,165.18,-6.00,4.66,Leather
12.,AKI India,24.79,156.34,212.59,0.00,0.57,147.83,18.06,24.38,6.00,Leather
13.,Zenith Exports,382.35,688.23,206.47,0.00,-0.42,-132.06,19.87,35.91,1.78,Leather
14.,Super Tannery,9.73,18.35,105.04,0.52,2.05,0.00,63.21,8.78,7.76,Leather
15.,Phoenix Intl.,48.10,33.94,80.76,0.00,0.96,200.00,6.68,-4.30,2.44,Leather
16.,Amin Tannery,2.37,71.09,25.59,0.00,0.12,-14.29,11.73,-20.74,5.03,Leather
17.,Sarup Industries,41.60,,13.52,0.00,0.11,108.59,3.84,252.29,1.39,Leather
18.,Euro Leder Fash,22.50,32.44,10.06,0.00,0.00,-100.00,8.54,-41.23,5.96,Leather
19.,NB Footwear,6.60,,8.91,0.00,-0.03,0.00,0.00,,,Leather
20.,Oscar Global,8.38,,2.77,0.00,-0.04,75.00,0.00,,-2.17,Leather
21.,S R Industries,1.40,,2.75,0.00,-1.17,-9.35,2.00,-61.69,-11.99,Leather
,Median: 21 Co.,161.2,65.88,240.3,0.0,1.19,-3.0,63.21,2.15,5.98,Leather
