S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Container Corpn.,1041.00,50.24,63427.56,1.08,317.83,13.55,2325.13,6.45,13.69,Logistics
2.,Delhivery,397.20,,29335.20,0.00,-68.47,66.09,2075.54,11.61,-1.31,Logistics
3.,Blue Dart Expres,8188.00,67.08,19430.15,0.31,77.78,12.01,1322.87,8.74,19.22,Logistics
4.,TVS Supply,186.40,,8206.18,0.00,5.38,254.94,2426.31,4.51,4.75,Logistics
5.,Transport Corp.,948.45,20.88,7373.65,1.02,103.30,23.47,1078.90,10.17,19.92,Logistics
6.,Allcargo Logist.,64.20,48.88,6309.43,1.24,-12.47,-110.91,3398.33,0.10,3.15,Logistics
7.,Gateway Distri,106.15,21.62,5303.73,1.90,51.55,-22.05,366.08,-0.43,12.53,Logistics
8.,VRL Logistics,591.15,58.29,5170.72,0.84,21.54,-64.68,768.40,10.06,10.79,Logistics
9.,TCI Express,1233.15,35.90,4728.16,0.64,31.59,-17.84,317.11,-2.80,26.62,Logistics
10.,Mahindra Logis.,526.50,,3793.48,0.47,-11.91,-1352.44,1450.76,14.01,3.03,Logistics
11.,Sindhu Trade,20.24,44.06,3120.86,0.00,-101.97,-424.54,445.69,16.98,6.57,Logistics
12.,JITF Infra Logis,826.65,68.37,2124.80,0.00,40.95,311.70,875.27,37.91,15.96,Logistics
13.,Rel. Indl. Infra,1383.05,156.75,2088.41,0.26,3.69,-12.35,14.51,-17.70,4.20,Logistics
14.,Navkar Corporat.,113.75,305.73,1712.15,0.00,7.26,9.17,117.92,13.88,1.23,Logistics
15.,Snowman Logistic,79.44,104.41,1327.35,1.26,2.15,-57.84,126.54,12.63,7.13,Logistics
16.,Lancer Containe.,50.95,20.57,1198.42,0.00,15.99,45.76,152.27,-24.22,16.58,Logistics
17.,TransIndia Real,45.32,26.36,1113.46,0.00,159.00,209.73,20.08,-31.58,5.22,Logistics
18.,Sical Logistics,170.20,,1110.54,0.00,-14.93,-10.58,44.22,-53.51,-2.17,Logistics
19.,Ritco Logistics,315.00,22.62,771.03,0.00,9.14,46.47,251.88,28.03,16.99,Logistics
20.,S J Logistics (I,470.00,30.12,680.71,0.00,13.30,,167.77,,33.13,Logistics
21.,AVG Logistics,484.00,30.29,661.00,0.20,23.25,28.57,136.82,21.22,14.62,Logistics
22.,Tiger Logistics,40.10,32.71,423.91,0.00,4.03,82.35,92.71,51.88,16.45,Logistics
23.,Premier Road,157.00,28.46,358.96,0.00,8.07,,132.17,,31.91,Logistics
24.,DJ Mediaprint,323.55,69.51,350.34,0.06,2.99,83.44,27.64,17.07,18.96,Logistics
25.,North Eastn.Car.,30.18,35.84,287.42,0.00,2.86,155.36,91.84,25.16,7.38,Logistics
,Median: 60 Co.,71.84,35.84,190.81,0.0,1.69,24.67,78.06,12.63,8.63,Logistics
26.,Zeal Global Serv,198.95,22.02,264.79,0.52,7.45,,100.60,,44.33,Logistics
27.,Shree Vasu Logis,226.40,83.21,259.60,0.00,0.20,-16.67,31.19,22.12,19.55,Logistics
28.,Aspinwall & Co,279.85,20.52,218.78,2.13,5.64,273.51,77.89,18.86,6.48,Logistics
29.,Total Transport,122.30,157.78,197.22,0.61,-0.67,25.88,148.29,31.04,7.01,Logistics
30.,DRS Dilip Road,128.50,64.52,193.55,0.00,-0.51,,82.47,,7.38,Logistics
31.,Accuracy Shippi.,12.49,376.08,188.06,0.20,9.18,60.77,171.35,-3.49,5.29,Logistics
32.,Shreeji Translog,26.61,11.42,185.97,0.58,2.10,-23.91,61.08,19.98,27.79,Logistics
33.,Patel Integrated,23.05,26.85,148.90,0.43,1.67,21.90,85.85,33.87,5.66,Logistics
34.,Arshiya,5.26,,138.57,0.00,-59.63,-17.22,38.74,4.39,-2.49,Logistics
35.,Sanco Trans,749.00,117.23,134.82,0.20,0.65,461.11,25.98,-0.84,2.59,Logistics
36.,Flomic Global,71.68,59.47,130.23,0.00,1.79,105.75,100.83,34.05,8.63,Logistics
37.,Globe Intl. Car.,47.05,47.47,117.25,0.53,1.72,,57.37,,10.98,Logistics
38.,Chart.Logistics,10.60,157.15,105.32,0.00,1.91,169.01,20.05,-6.79,5.16,Logistics
39.,East West Holdin,8.24,18.54,105.11,0.00,6.15,30850.00,65.15,28.93,19.77,Logistics
40.,Committed Cargo,66.00,17.30,71.34,0.00,1.51,,78.24,,19.51,Logistics
41.,Jet Freight,14.55,,67.50,0.00,2.67,169.70,98.31,2.46,4.63,Logistics
42.,ABC India,113.80,28.02,61.65,0.43,0.16,-84.38,39.67,7.22,8.10,Logistics
43.,Balurghat Tech,31.29,23.14,56.94,0.00,1.03,415.00,20.03,18.73,14.16,Logistics
44.,Timescan Logist.,63.20,11.65,44.15,0.40,2.45,,105.75,,27.45,Logistics
45.,Transvoy Logist.,136.85,214.38,36.46,0.00,-0.11,0.00,21.21,-51.53,8.01,Logistics
46.,Cargosol Logist.,35.15,,35.86,0.00,-4.87,,52.43,,-5.53,Logistics
47.,Marinetrans Indi,28.10,111.75,35.76,0.00,-0.14,,64.24,,7.16,Logistics
48.,MFL India,0.95,,34.23,0.00,-0.43,-975.00,14.13,557.21,0.00,Logistics
49.,OneClick Logisti,82.25,44.91,29.63,0.00,0.45,,14.31,,46.70,Logistics
