S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Netwrk.18 Media,87.16,,9125.20,0.00,-206.92,-172.66,2419.28,63.06,-0.28,Media - Print/Television/Radio
2.,D B Corp,352.90,14.75,6287.17,3.66,122.53,198.64,617.14,16.23,25.43,Media - Print/Television/Radio
3.,Jagran Prakashan,92.46,12.21,2012.45,4.34,6.02,-74.13,509.64,10.94,10.63,Media - Print/Television/Radio
4.,NDTV,223.00,,1437.77,0.00,-8.68,34.11,106.52,59.08,-4.17,Media - Print/Television/Radio
5.,T.V. Today Netw.,238.05,23.77,1420.41,1.24,11.46,35.38,252.79,16.42,9.68,Media - Print/Television/Radio
6.,Sandesh,1526.00,6.14,1155.17,0.32,71.92,535.90,85.54,10.92,20.87,Media - Print/Television/Radio
7.,Hindustan Media,103.68,102.54,763.83,0.00,11.10,-13.57,188.05,-0.04,0.24,Media - Print/Television/Radio
8.,Bright Outdoor,455.50,41.32,662.70,0.00,11.84,131.92,65.44,27.97,16.66,Media - Print/Television/Radio
9.,H T Media,28.02,,652.14,0.00,-0.31,303.48,464.41,5.21,-0.01,Media - Print/Television/Radio
10.,UFO Moviez,134.75,29.92,520.09,0.00,6.02,610.17,118.66,35.06,9.99,Media - Print/Television/Radio
11.,Sambhaav Media,4.65,84.63,88.86,0.00,2.20,198.52,13.04,13.29,3.08,Media - Print/Television/Radio
12.,Graphisads,46.60,23.27,85.17,0.00,2.31,,66.77,,14.38,Media - Print/Television/Radio
13.,Diligent Media,5.41,9.52,63.71,0.00,125.70,-287.96,3.18,-24.29,2.71,Media - Print/Television/Radio
14.,Madhya Prad. Tod,35.05,6.30,16.01,0.00,1.52,,13.47,,9.72,Media - Print/Television/Radio
15.,Esha Media,12.61,,9.85,0.00,-0.08,-60.00,0.03,200.00,-16.82,Media - Print/Television/Radio
16.,SAB Events,9.28,,9.73,0.00,-0.02,-109.52,0.81,12.50,-23.25,Media - Print/Television/Radio
17.,Perfect-Octave,2.45,36.96,8.50,0.00,0.20,-48.72,0.84,50.00,4.77,Media - Print/Television/Radio
,Median: 17 Co.,87.16,23.52,652.14,0.0,2.31,34.11,85.54,16.23,4.77,Media - Print/Television/Radio
