S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Coal India,489.10,8.03,301418.97,4.94,8640.45,25.78,37410.39,-1.94,65.11,Mining & Mineral products
2.,Vedanta,471.60,47.64,175303.52,6.26,2275.00,-36.24,35509.00,-6.38,20.91,Mining & Mineral products
3.,NMDC,251.90,12.72,73821.92,2.63,1409.78,0.97,6489.31,10.90,31.92,Mining & Mineral products
4.,Lloyds Metals,772.60,31.35,39035.89,0.00,277.06,2.98,1554.29,77.38,79.17,Mining & Mineral products
5.,KIOCL,475.00,,28868.12,0.00,-42.91,-152.20,372.19,-49.34,-2.13,Mining & Mineral products
6.,G M D C,399.70,20.58,12710.46,2.88,207.13,-53.15,750.75,-20.82,13.78,Mining & Mineral products
7.,MOIL,540.50,37.49,10998.36,0.69,91.15,12.60,415.88,-2.85,16.48,Mining & Mineral products
8.,Sandur Manganese,569.00,38.75,9219.79,0.15,162.23,-6.75,551.77,-9.21,15.54,Mining & Mineral products
9.,Orissa Minerals,7361.75,,4417.05,0.00,2.32,126.10,28.28,257.52,-1.48,Mining & Mineral products
10.,Ashapura Minech.,424.85,19.57,3886.79,0.00,67.37,-49.26,440.08,-36.79,13.87,Mining & Mineral products
11.,Owais Metal,1301.55,152.98,2366.53,0.00,8.68,,49.85,,51.27,Mining & Mineral products
12.,Dec.Gold Mines,107.00,,1579.72,0.00,-68.07,-7065.26,3.23,3488.89,-10.73,Mining & Mineral products
13.,20 Microns,225.90,13.92,797.13,0.54,13.66,46.67,212.34,22.54,21.70,Mining & Mineral products
14.,Vishnusurya,233.95,20.87,575.74,0.45,4.85,,129.58,,45.37,Mining & Mineral products
15.,Bhagyanagar Ind,123.40,8.57,394.83,0.00,2.44,-57.93,409.68,-38.22,20.94,Mining & Mineral products
16.,South West Pinn.,117.50,46.30,327.87,0.43,2.24,-32.73,45.00,18.42,9.12,Mining & Mineral products
17.,Rajnandini Metal,11.83,21.47,327.08,0.55,0.29,-91.34,315.80,-5.85,21.26,Mining & Mineral products
18.,Asi Industries,32.05,11.49,288.70,0.61,12.47,19.90,45.52,6.08,10.78,Mining & Mineral products
19.,Baroda Extrusion,7.15,,106.54,0.00,-1.37,-320.97,33.52,3.62,-6.20,Mining & Mineral products
20.,Madhav Copper,36.71,81.01,99.65,0.00,4.20,462.07,14.58,,3.61,Mining & Mineral products
21.,Shilp Gravures,160.65,8.80,98.79,1.33,1.32,-3.65,20.00,3.63,15.53,Mining & Mineral products
22.,Elegant Marbles,263.75,19.98,96.52,1.04,0.21,-85.99,8.17,-22.92,5.53,Mining & Mineral products
23.,Chrome Silicon,47.49,,77.86,0.00,0.10,-697.62,37.23,-20.00,-16.30,Mining & Mineral products
24.,South. Magnesium,230.00,20.75,69.01,0.00,0.76,4.11,2.65,47.22,48.56,Mining & Mineral products
25.,MSR India,9.10,,57.23,0.00,0.43,43.84,0.00,-100.00,-16.29,Mining & Mineral products
,Median: 34 Co.,120.45,21.17,307.89,0.0,1.04,-1.34,35.38,-1.94,13.77,Mining & Mineral products
26.,Raw Edge Indust.,38.68,,38.90,0.00,0.58,252.63,13.12,18.30,3.24,Mining & Mineral products
27.,Shiva Granito,14.75,23.48,19.49,0.00,0.75,,4.51,,13.75,Mining & Mineral products
28.,Kachchh Minerals,29.00,24.80,15.36,0.00,-0.11,-57.14,0.00,,32.45,Mining & Mineral products
29.,Midwest Gold,34.18,,11.18,0.00,-0.67,82.91,0.73,247.62,-27.46,Mining & Mineral products
30.,Monind,24.92,,9.17,0.00,-0.56,56.59,0.00,,,Mining & Mineral products
31.,Foundry Fuel,9.98,,8.00,0.00,-0.11,-120.00,0.00,,,Mining & Mineral products
32.,Starlit Power,5.10,,5.13,0.00,-1.01,90.88,0.00,-100.00,-9.22,Mining & Mineral products
33.,MFS Intercorp,9.94,,4.29,0.00,-0.01,,0.00,,-1.73,Mining & Mineral products
34.,Pagaria Energy,8.44,73.40,3.67,0.00,0.03,50.00,0.00,,1.11,Mining & Mineral products
,Median: 34 Co.,120.45,21.17,307.89,0.0,1.04,-1.34,35.38,-1.94,13.77,Mining & Mineral products
