S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,C D S L,2330.00,58.12,24348.52,0.68,129.42,104.85,240.78,92.98,40.18,Miscellaneous
2.,TBO Tek,1859.55,97.56,20192.47,0.00,46.40,75.57,369.07,31.15,42.09,Miscellaneous
3.,Godrej Agrovet,798.40,42.73,15350.11,1.25,65.48,143.42,2134.28,1.88,13.64,Miscellaneous
4.,Indegene,542.15,38.71,12972.04,0.00,94.80,90.78,673.00,6.45,29.02,Miscellaneous
5.,Thomas Cook (I),251.05,45.57,11814.18,0.16,58.17,908.27,1663.82,26.70,19.05,Miscellaneous
6.,RattanIndia Ent,81.53,23.94,11269.61,0.00,-81.50,41.01,1294.30,17.05,36.04,Miscellaneous
7.,CMS Info Systems,512.85,24.02,8347.24,1.11,91.42,14.38,627.08,25.06,26.19,Miscellaneous
8.,SIS,458.00,35.22,6601.11,0.00,-11.67,-112.53,3137.63,4.74,10.34,Miscellaneous
9.,Le Travenues,162.20,208.06,6283.94,0.00,,,,,8.27,Miscellaneous
10.,Rain Industries,168.85,,5679.30,0.58,-116.45,-210.52,3670.24,-30.14,1.90,Miscellaneous
11.,Kaveri Seed Co.,963.80,16.57,4957.66,0.52,-0.40,98.26,98.35,33.48,24.66,Miscellaneous
12.,Team Lease Serv.,2914.65,44.88,4887.52,0.00,28.13,6.12,2431.97,19.96,13.55,Miscellaneous
13.,Sanghvi Movers,1091.85,25.20,4727.70,0.37,47.74,40.70,165.44,30.44,23.82,Miscellaneous
14.,Shipping Land,83.65,82.00,3896.41,0.00,8.32,-20.38,3.96,42.45,1.72,Miscellaneous
15.,AWFIS Space,557.15,,3867.72,0.00,1.38,109.96,232.32,45.23,8.16,Miscellaneous
16.,Dredging Corpn.,1292.55,99.36,3619.14,0.00,-23.47,89.47,277.89,-17.65,3.94,Miscellaneous
17.,Delta Corp,135.10,17.43,3617.54,0.93,72.47,-34.98,194.81,-9.10,11.84,Miscellaneous
18.,Spright Agro,54.54,251.47,2922.00,0.00,5.78,29000.00,43.76,1907.34,38.62,Miscellaneous
19.,EFC (I),574.85,49.33,2861.40,0.00,27.94,216.06,93.20,54.51,18.80,Miscellaneous
20.,Stanley Lifesty.,496.45,86.54,2830.60,0.00,,,,,17.53,Miscellaneous
21.,Venky's (India),1982.25,35.30,2792.44,0.30,33.51,32.82,895.94,-14.06,8.42,Miscellaneous
22.,Tarsons Products,503.40,62.82,2678.42,0.00,10.32,,105.72,,,Miscellaneous
23.,Confidence Petro,83.18,26.03,2641.02,0.12,13.93,-48.36,630.54,-5.69,13.50,Miscellaneous
24.,Dreamfolks Servi,481.85,36.71,2517.68,0.10,17.98,-28.93,281.14,18.25,46.02,Miscellaneous
25.,Cupid,87.60,59.04,2351.78,0.28,23.72,184.41,62.90,51.57,22.36,Miscellaneous
,Median: 251 Co.,81.53,34.4,95.14,0.0,0.58,24.29,13.21,5.37,9.38,Miscellaneous
26.,Pokarna,749.75,25.45,2324.54,0.08,15.51,48.73,161.59,0.25,18.34,Miscellaneous
27.,Bombay Super Hyb,218.00,102.95,2287.64,0.00,3.13,63.87,30.12,-15.82,23.87,Miscellaneous
28.,Updater Services,313.55,15.21,2099.15,0.00,24.16,149.84,631.77,10.41,25.66,Miscellaneous
29.,Oriental Rail,296.70,60.79,1823.49,0.00,4.37,154.56,172.04,42.91,12.72,Miscellaneous
30.,Antony Waste han,537.45,17.67,1525.37,0.00,30.16,187.66,210.18,4.17,13.90,Miscellaneous
31.,Signpost India,278.50,33.77,1488.59,0.00,17.75,-15.72,103.43,-36.44,,Miscellaneous
32.,Matrimony.com,637.55,28.63,1419.20,0.78,11.73,2.89,119.23,4.12,20.84,Miscellaneous
33.,Eco Recyc.,725.00,76.83,1399.04,0.00,1.65,143.19,8.05,62.63,37.23,Miscellaneous
34.,R K Swamy,263.95,33.57,1332.70,0.00,26.18,27.03,118.28,43.02,34.74,Miscellaneous
35.,Gulshan Polyols,211.90,74.32,1321.62,0.24,6.37,-54.98,405.59,34.51,4.31,Miscellaneous
36.,Allcargo Termi,52.05,28.80,1278.88,0.99,9.22,-30.08,181.76,-1.08,12.27,Miscellaneous
37.,Krystal Integrat,856.75,24.81,1197.05,0.00,14.83,62.08,273.68,47.19,20.34,Miscellaneous
38.,Ganesh Benzopl.,150.10,17.83,1080.56,0.00,16.19,29.73,60.25,16.36,18.22,Miscellaneous
39.,Mukka Proteins,35.25,15.07,1057.50,0.00,29.15,24.29,256.70,-38.98,18.90,Miscellaneous
40.,Ravindra Energy,64.80,116.10,999.36,0.00,-63.40,-100.11,30.12,-73.57,12.21,Miscellaneous
41.,Kotyark Indust.,968.00,44.76,995.01,0.50,11.44,29.48,143.76,-25.59,52.82,Miscellaneous
42.,Global Surfaces,217.10,49.21,920.13,0.00,10.83,82.96,108.62,174.29,6.58,Miscellaneous
43.,EKI Energy,330.75,,910.51,0.00,-30.20,21.15,77.98,-14.58,-23.96,Miscellaneous
44.,Jaykay Enter.,152.35,103.66,890.62,0.00,4.89,345.73,30.03,190.43,6.90,Miscellaneous
45.,Radiant Cash,80.05,18.81,854.23,3.76,8.99,-42.15,97.29,8.47,23.12,Miscellaneous
46.,Sukhjit Starch,482.15,15.06,753.22,1.66,11.88,-19.73,369.92,-5.45,12.56,Miscellaneous
47.,Apex Frozen Food,228.10,48.81,712.80,1.10,-0.36,91.04,161.64,-23.70,5.00,Miscellaneous
48.,PTL Enterprises,46.37,26.04,613.85,3.78,5.56,125.10,16.08,0.06,7.45,Miscellaneous
49.,DU Digital,73.85,635.85,515.04,0.00,0.75,,18.60,,12.44,Miscellaneous
50.,Intl. Travel Hse,627.00,22.25,500.98,0.55,6.13,-60.73,58.66,16.41,22.82,Miscellaneous
,Median: 251 Co.,81.53,34.4,95.14,0.0,0.58,24.29,13.21,5.37,9.38,Miscellaneous
51.,Nath Bio-Genes,259.25,13.41,492.70,0.75,3.21,42.14,43.04,-4.19,6.83,Miscellaneous
52.,Prozone Realty,29.95,160.36,457.00,0.00,-13.26,-330.13,51.58,-7.33,3.91,Miscellaneous
53.,Gem Enviro,200.35,45.09,451.79,0.00,,,,,65.84,Miscellaneous
54.,Indo US Bio-Tech,218.50,53.11,438.13,0.00,0.52,-81.23,15.77,-12.92,14.40,Miscellaneous
55.,Universus Photo,381.00,,417.06,0.00,-43.48,-24.62,9.59,17.38,-19.56,Miscellaneous
56.,Globus Power,40.97,,405.40,0.00,6.19,-7.14,0.00,,-27.21,Miscellaneous
57.,Kapston Services,385.10,31.06,390.65,0.00,2.76,203.30,141.47,33.40,12.64,Miscellaneous
58.,Kings Infra,158.55,49.98,388.53,0.00,1.94,-7.18,25.41,24.32,17.65,Miscellaneous
59.,Exhicon Events,292.50,28.99,379.17,0.37,6.55,,41.17,,97.20,Miscellaneous
60.,Anlon Tech,592.00,81.96,370.34,0.00,2.30,49.60,17.43,12.29,23.97,Miscellaneous
61.,Dynamic Services,251.05,40.32,345.10,0.00,4.63,,55.61,,20.80,Miscellaneous
62.,Waterbase,82.25,,340.74,0.00,-4.77,-151.05,67.31,2.58,-4.86,Miscellaneous
63.,Crayons Advertis,138.00,19.95,337.14,0.00,11.80,,109.51,,36.50,Miscellaneous
64.,Crown Lifters,300.00,61.09,336.66,0.13,1.88,-9.62,10.54,73.64,18.38,Miscellaneous
65.,E Factor Experie,252.00,21.48,329.82,0.00,14.63,,127.31,,108.29,Miscellaneous
66.,Coastal Corporat,240.95,71.40,322.76,0.56,-6.19,32.94,116.62,59.69,4.59,Miscellaneous
67.,Rudrabhish. Ent.,184.01,22.72,319.12,0.00,2.64,42.70,37.74,18.94,16.81,Miscellaneous
68.,Take Solutions,21.45,,317.31,0.00,-110.61,-1001.84,13.21,-64.81,-21.61,Miscellaneous
69.,Mercantile Vent.,27.68,83.28,309.76,0.00,-1.28,-116.57,15.39,17.84,1.41,Miscellaneous
70.,Maagh Advertisin,13.64,126.82,306.91,0.00,1.22,,27.00,,22.78,Miscellaneous
71.,Caspian Corporat,72.58,38.61,306.28,0.07,4.43,3064.29,24.44,3660.00,19.55,Miscellaneous
72.,P.E. Analytics,290.00,27.22,303.98,0.00,6.58,,22.20,,24.00,Miscellaneous
73.,Shree Rama News.,20.55,,303.15,0.00,-15.14,-458.21,13.00,-2.84,0.77,Miscellaneous
74.,Infollion Resea.,304.00,34.37,294.64,0.00,4.34,,26.64,,92.64,Miscellaneous
75.,Ruchi Infrastr.,12.73,40.66,286.31,0.00,-0.75,64.79,16.98,22.25,4.18,Miscellaneous
,Median: 251 Co.,81.53,34.4,95.14,0.0,0.58,24.29,13.21,5.37,9.38,Miscellaneous
76.,MANGALAM SEEDS,255.00,21.24,279.98,0.00,2.25,-48.75,13.37,-15.38,19.08,Miscellaneous
77.,IIRM Holdings,41.05,12.36,279.73,0.00,22.64,,177.83,,,Miscellaneous
78.,Lloyds Luxuries,114.90,,260.30,0.00,-3.05,,21.89,,-11.07,Miscellaneous
79.,Alphageo (India),395.70,146.82,251.85,2.03,4.07,884.13,51.89,267.49,4.25,Miscellaneous
80.,Techknowgreen,336.00,40.57,248.07,0.00,2.87,,14.22,,94.69,Miscellaneous
81.,Shreeoswal Seeds,27.10,,247.90,0.00,-3.51,-1426.09,43.42,65.28,0.62,Miscellaneous
82.,Modi Rubber,98.00,15.80,245.39,0.00,3.16,-1.86,5.44,90.21,4.43,Miscellaneous
83.,Tirupati Starch,255.00,118.14,244.50,0.00,0.43,-89.20,82.48,-4.12,7.64,Miscellaneous
