S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Inox India,1401.30,64.82,12718.70,0.00,44.08,44.01,276.12,17.35,43.06,Packaging
2.,EPL Ltd,223.55,27.83,7117.42,1.94,15.10,-38.32,1029.20,6.18,15.10,Packaging
3.,Garware Hi Tech,2544.50,29.08,5911.51,0.38,57.81,34.22,446.58,27.96,13.89,Packaging
4.,AGI Greenpac,862.00,22.15,5576.92,0.73,64.58,-32.62,624.87,-8.15,17.91,Packaging
5.,Uflex,564.90,107.57,4079.13,0.54,-270.95,105.49,3426.46,1.37,6.27,Packaging
6.,Polyplex Corpn,1104.95,91.68,3468.68,2.06,31.37,10.64,1678.69,0.70,1.80,Packaging
7.,Huhtamaki India,393.45,27.21,2971.41,1.26,26.03,-26.66,610.12,-7.77,12.46,Packaging
8.,Mold-Tek Pack.,807.10,40.27,2681.93,0.74,17.97,-21.87,176.87,-4.24,14.47,Packaging
9.,Cosmo First,887.15,37.51,2328.74,0.52,15.38,-51.67,641.31,-10.31,6.99,Packaging
10.,TCPL Packaging,2514.00,21.46,2287.73,0.86,30.20,9.58,382.80,0.48,20.13,Packaging
11.,Everest Kanto,143.45,16.13,1609.68,0.50,13.11,-60.22,325.84,9.38,11.32,Packaging
12.,Ester Industries,120.95,,1136.37,0.41,-23.72,-33.63,276.73,-6.08,-4.24,Packaging
13.,Cropster Agro,413.00,93.18,1032.50,0.00,5.17,17333.33,27.45,,37.57,Packaging
14.,Shree Tirupati,788.75,56.63,799.01,0.00,3.34,,85.64,,20.50,Packaging
15.,Nahar Poly,298.35,129.13,733.59,0.49,0.92,-76.94,153.10,2.88,-0.04,Packaging
16.,TPL Plastech,94.01,36.93,733.33,0.66,6.07,59.32,82.73,14.76,19.30,Packaging
17.,Pyramid Technopl,191.35,23.96,703.89,0.00,7.29,-11.64,133.65,8.55,20.95,Packaging
18.,Sh. Jagdamba Pol,724.50,19.63,634.50,0.07,7.84,32.21,109.99,66.53,21.12,Packaging
19.,Oricon Enterpris,38.69,,607.63,1.31,13.31,128.86,31.37,75.64,-0.69,Packaging
