S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Supreme Petroch.,783.60,45.41,14734.95,1.14,131.50,-17.47,1562.85,12.69,22.46,Petrochemicals
2.,Savita Oil Tech,627.00,21.23,4332.52,0.62,32.74,-10.10,973.31,1.85,19.85,Petrochemicals
3.,Styrenix Perfor.,2303.65,23.43,4052.10,4.53,49.36,16.31,598.71,-2.69,31.47,Petrochemicals
4.,Bhansali Engg.,141.85,19.66,3530.03,2.79,41.35,193.89,321.18,-2.05,24.44,Petrochemicals
5.,Panama Petrochem,411.75,12.75,2490.82,1.93,60.98,20.02,740.97,45.17,24.86,Petrochemicals
6.,Agarwal Indl.,1247.00,17.07,1865.30,0.20,38.01,34.31,776.44,17.72,20.63,Petrochemicals
7.,DCW,55.86,100.69,1648.70,0.89,15.33,-56.55,621.69,5.70,6.66,Petrochemicals
8.,Manali Petrochem,93.74,71.99,1612.32,0.79,1.30,588.89,256.28,-23.16,4.38,Petrochemicals
9.,Kothari Petroche,153.81,14.17,905.15,0.80,15.18,17.08,167.94,22.67,41.91,Petrochemicals
10.,Goa Carbon,814.05,8.70,744.81,2.12,9.36,76.94,178.46,-43.53,23.46,Petrochemicals
11.,Polychem,2881.60,16.00,115.26,1.03,2.68,57.72,14.85,33.42,23.28,Petrochemicals
12.,Hind.Fluoro Carb,18.44,29.37,36.14,0.00,0.40,112.05,0.00,,3.05,Petrochemicals
,Median: 12 Co.,519.38,20.45,1757.0,0.96,24.04,27.16,459.95,5.7,22.87,Petrochemicals
