S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Sun Pharma.Inds.,1555.90,37.28,373312.48,0.88,2658.74,28.70,11982.90,9.63,17.31,Pharmaceuticals
2.,Divi's Lab.,4551.50,75.49,120828.05,0.66,538.00,67.60,2303.00,18.04,16.44,Pharmaceuticals
3.,Cipla,1477.00,28.08,119270.44,0.88,931.87,48.80,6163.24,7.39,23.08,Pharmaceuticals
4.,Zydus Lifesci.,1119.20,29.24,112617.70,0.27,1246.10,94.59,5533.80,10.44,22.40,Pharmaceuticals
5.,Dr Reddy's Labs,6520.60,19.44,108783.02,0.62,1309.80,36.42,7113.80,12.65,26.86,Pharmaceuticals
6.,Torrent Pharma.,2840.00,60.83,96114.12,0.99,449.00,56.45,2745.00,10.20,23.16,Pharmaceuticals
7.,Mankind Pharma,2163.95,47.53,86695.44,0.00,454.17,61.63,2152.69,14.99,26.11,Pharmaceuticals
8.,Lupin,1742.00,41.47,79420.61,0.24,368.22,52.33,4960.79,11.98,15.90,Pharmaceuticals
9.,Aurobindo Pharma,1252.00,22.35,73359.47,0.36,907.35,92.29,7580.15,17.10,14.17,Pharmaceuticals
10.,Alkem Lab,5014.95,31.71,59961.23,0.80,304.48,201.04,2935.82,1.14,19.55,Pharmaceuticals
11.,Abbott India,27896.65,49.34,59280.44,1.48,287.06,24.04,1438.63,7.11,46.03,Pharmaceuticals
12.,Glaxosmi. Pharma,2646.00,68.28,44824.84,1.21,194.48,52.78,929.80,18.08,51.33,Pharmaceuticals
13.,Biocon,365.70,42.65,43905.99,0.14,222.90,-56.02,3917.10,3.79,6.12,Pharmaceuticals
14.,Glenmark Pharma.,1301.10,,36715.53,0.20,-1214.27,-1849.11,3062.96,2.08,12.35,Pharmaceuticals
15.,Gland Pharma,1812.95,38.67,29868.67,1.09,192.42,69.80,1537.45,95.85,13.58,Pharmaceuticals
16.,Ipca Labs.,1174.00,50.41,29784.92,0.34,1.33,-15.89,2033.01,34.49,13.15,Pharmaceuticals
17.,Syngene Intl.,724.60,56.26,29167.89,0.17,188.60,5.54,916.90,-7.79,14.69,Pharmaceuticals
18.,Ajanta Pharma,2231.90,34.81,28103.56,1.64,202.72,65.82,1054.08,19.53,31.60,Pharmaceuticals
19.,J B Chemicals &,1785.95,50.15,27720.27,0.49,126.16,43.97,861.73,13.04,25.09,Pharmaceuticals
20.,Laurus Labs,459.15,153.05,24755.57,0.46,75.02,-27.15,1439.67,4.26,6.60,Pharmaceuticals
21.,Natco Pharma,1218.75,15.71,21828.96,0.78,386.30,40.07,1068.30,18.98,30.05,Pharmaceuticals
22.,Pfizer,4653.30,39.04,21287.81,0.75,178.86,26.56,546.63,-4.54,21.89,Pharmaceuticals
23.,Piramal Pharma,158.80,1340.92,21052.92,0.07,101.27,129.22,2552.36,17.97,5.52,Pharmaceuticals
24.,Suven Pharma,817.60,69.26,20813.22,0.12,53.37,-56.95,252.93,-31.52,21.07,Pharmaceuticals
25.,Alembic Pharma,989.10,31.71,19442.08,1.13,178.21,16.78,1516.98,7.86,13.14,Pharmaceuticals
,Median: 184 Co.,215.9,36.02,529.8,0.0,3.55,23.45,74.18,10.05,13.14,Pharmaceuticals
26.,Astrazeneca Phar,7417.00,124.04,18542.54,0.34,39.48,-19.63,383.20,34.60,31.14,Pharmaceuticals
27.,Concord Biotech,1620.50,57.60,16953.04,0.55,97.21,3.96,318.97,17.01,27.87,Pharmaceuticals
28.,Sanofi India,6597.55,26.79,15194.20,2.53,136.60,-12.83,732.40,-0.56,71.10,Pharmaceuticals
29.,Wockhardt,917.05,,14067.64,0.00,-177.00,-18.22,700.00,3.24,-0.83,Pharmaceuticals
30.,ERIS Lifescience,1029.70,35.75,14011.61,0.70,79.63,15.42,550.93,36.78,11.34,Pharmaceuticals
31.,Granules India,515.35,30.82,12490.43,0.30,129.65,8.39,1175.78,-1.65,15.34,Pharmaceuticals
