S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Tata Consumer,1143.35,80.96,108942.38,0.68,212.26,24.51,3926.94,8.52,10.65,Plantation & Plantation Products
2.,CCL Products,589.20,31.47,7867.48,0.93,65.22,-23.53,726.72,39.73,12.42,Plantation & Plantation Products
3.,Tinna Rubber,1825.30,77.53,3126.63,0.16,15.66,131.66,109.85,51.06,32.26,Plantation & Plantation Products
4.,GRP,15102.70,82.19,2008.67,0.11,11.67,390.55,137.94,44.38,15.43,Plantation & Plantation Products
5.,Pix Transmission,1377.80,22.63,1877.95,0.50,24.43,27.91,128.95,-4.11,22.57,Plantation & Plantation Products
6.,Vintage Coffee,70.00,67.24,805.57,0.07,4.30,204.96,42.39,127.78,8.85,Plantation & Plantation Products
7.,Indag Rubber,236.00,37.00,619.51,1.29,3.38,-49.02,61.32,-4.28,9.96,Plantation & Plantation Products
8.,Intl. Conveyors,83.02,8.42,526.20,1.33,6.07,-22.87,25.96,-46.84,25.38,Plantation & Plantation Products
9.,Rubfila Intl.,87.22,18.63,473.32,1.33,7.09,20.37,128.62,13.43,12.54,Plantation & Plantation Products
10.,Goodricke Group,202.00,,436.32,0.00,-75.83,-67.36,130.25,29.89,-14.90,Plantation & Plantation Products
11.,Harri. Malayalam,221.45,1459.97,408.75,0.00,-9.56,-550.00,140.98,19.56,5.44,Plantation & Plantation Products
12.,Elgi Rubber Co,78.45,168.68,393.03,0.00,-1.70,79.88,95.09,-1.34,5.92,Plantation & Plantation Products
13.,Jay Shree Tea,118.00,,340.79,0.00,-15.03,22.37,138.93,-5.36,2.22,Plantation & Plantation Products
14.,Mcleod Russel,26.62,,278.06,0.00,-218.42,-50.85,194.95,-13.75,-6.99,Plantation & Plantation Products
15.,Neelamalai Agro,4157.50,11.66,258.61,1.20,7.72,69.00,5.21,-5.96,8.92,Plantation & Plantation Products
16.,Dhunseri Tea,214.55,,225.44,1.41,-83.47,-110.96,45.64,10.88,-19.35,Plantation & Plantation Products
17.,Somi Conv.Belt.,175.10,45.32,206.26,0.00,1.88,-5.05,38.44,-0.90,9.26,Plantation & Plantation Products
18.,United Nilgiri,405.00,12.61,202.35,0.65,3.05,8.16,21.89,29.22,10.47,Plantation & Plantation Products
19.,B & A,624.50,18.96,193.59,0.08,-15.74,-10.06,37.71,-1.85,11.63,Plantation & Plantation Products
20.,Gayatri Rubbers,333.65,122.72,191.45,0.00,0.95,,13.63,,24.82,Plantation & Plantation Products
21.,Sampann Utpadan,38.99,,158.35,0.00,0.44,167.69,19.09,17.84,0.12,Plantation & Plantation Products
22.,Bengal Tea & Fab,156.00,,140.50,0.65,-5.46,24.27,3.74,3.31,2.42,Plantation & Plantation Products
23.,Peria Kara. Tea,430.00,24.92,133.12,0.12,3.69,371.32,11.60,-1.11,4.16,Plantation & Plantation Products
24.,Grob Tea Co,960.50,,111.63,0.21,-13.97,23.28,15.41,19.64,1.35,Plantation & Plantation Products
25.,James Warren Tea,220.35,43.37,81.53,0.00,-8.15,37.40,5.16,-44.75,1.61,Plantation & Plantation Products
,Median: 40 Co.,115.41,40.19,174.9,0.0,-0.03,22.37,17.51,3.31,5.36,Plantation & Plantation Products
26.,Shri Vasuprada,94.25,,78.08,0.00,-7.31,32.81,15.93,10.32,-6.72,Plantation & Plantation Products
27.,M M Rubber,112.83,,70.33,0.00,-1.70,-495.35,9.90,0.71,-3.16,Plantation & Plantation Products
28.,Warren Tea,48.99,,58.55,0.00,-0.14,95.42,0.00,-100.00,-1.38,Plantation & Plantation Products
29.,Diana Tea Co,27.52,171.88,41.24,0.00,-8.23,0.60,6.90,-20.87,3.27,Plantation & Plantation Products
30.,Indong Tea Co,26.94,,40.41,0.00,-3.38,,8.48,,-0.63,Plantation & Plantation Products
31.,Kanco Tea,73.08,,37.44,1.37,-9.29,25.02,3.23,29.72,-5.82,Plantation & Plantation Products
32.,Cochin Malabar,201.35,71.27,35.63,0.00,1.00,688.24,0.00,,65.15,Plantation & Plantation Products
33.,Tyroon Tea Co.,96.40,13.06,32.78,0.00,-6.61,13.71,2.69,97.79,8.33,Plantation & Plantation Products
34.,Lead Reclaim,34.60,68.64,25.38,0.00,0.23,,9.75,,8.53,Plantation & Plantation Products
35.,Vamshi Rubber,50.99,35.20,21.46,0.00,0.22,414.29,21.63,12.83,8.24,Plantation & Plantation Products
36.,Eastern Treads,39.00,,20.40,0.00,-0.71,55.90,14.77,2.86,-0.59,Plantation & Plantation Products
37.,Norben Tea,12.57,,14.78,0.00,-1.03,-114.58,1.18,59.46,-2.57,Plantation & Plantation Products
38.,V R Woodart,6.42,,9.56,0.00,-0.02,0.00,0.00,,-900.00,Plantation & Plantation Products
39.,Retro Green,8.93,17.15,8.07,0.00,0.07,-30.00,0.37,-15.91,5.27,Plantation & Plantation Products
40.,Bansisons Tea,3.99,,2.53,0.00,-0.04,20.00,0.00,-100.00,-2.66,Plantation & Plantation Products
,Median: 40 Co.,115.41,40.19,174.9,0.0,-0.03,22.37,17.51,3.31,5.36,Plantation & Plantation Products
