S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Supreme Inds.,6092.50,74.93,77391.11,0.48,354.82,-1.28,3007.89,15.76,28.56,Plastic products
2.,Astral,2378.85,117.10,63902.27,0.13,181.30,-9.69,1625.10,7.89,23.71,Plastic products
3.,Finolex Inds.,329.70,44.93,20457.09,0.45,161.43,1.95,1235.42,8.27,11.51,Plastic products
4.,Safari Inds.,2127.20,58.98,10373.74,0.13,43.19,13.42,365.42,20.72,31.22,Plastic products
5.,Responsive Ind,313.60,51.83,8360.85,0.03,45.87,101.72,288.19,21.52,14.73,Plastic products
6.,Prince Pipes,689.55,45.12,7623.72,0.00,54.65,-41.94,740.13,-3.18,14.99,Plastic products
7.,Time Technoplast,331.50,24.23,7522.67,0.38,94.26,45.27,1394.32,16.94,15.98,Plastic products
8.,Jai Corp,401.30,135.45,7161.16,0.13,23.47,228.35,122.74,-1.64,4.50,Plastic products
9.,V I P Inds.,478.45,125.05,6792.68,0.94,-23.88,-160.23,516.32,14.59,10.35,Plastic products
10.,Jain Irrigation,72.75,54.27,4936.22,0.00,-10.68,132.03,1726.57,-1.08,5.81,Plastic products
11.,Shaily Engineer.,878.80,70.37,4030.86,0.00,19.34,94.76,170.56,26.81,13.97,Plastic products
12.,Kingfa Science,2629.15,25.98,3184.05,0.00,33.55,-8.38,404.42,10.62,30.07,Plastic products
13.,Nilkamal Ltd,1974.70,24.88,2946.27,1.02,35.57,-26.34,834.19,0.64,11.24,Plastic products
14.,SJS Enterprises,851.25,31.11,2642.12,0.24,27.18,73.60,186.79,75.27,21.91,Plastic products
15.,Apollo Pipes,635.60,61.90,2628.46,0.09,6.52,-56.62,245.79,-2.44,12.23,Plastic products
16.,XPRO India,998.90,48.56,2201.02,0.20,12.43,226.70,128.41,3.33,16.98,Plastic products
17.,Prakash Pipes,472.15,12.58,1129.30,0.25,25.36,28.34,164.71,5.67,32.69,Plastic products
