S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Page Industries,38543.70,75.52,42976.23,0.95,108.20,38.10,995.35,3.19,45.03,Readymade Garments/ Apparells
2.,K P R Mill Ltd,901.35,39.19,30809.39,0.58,213.61,1.94,1696.72,-12.97,20.62,Readymade Garments/ Apparells
3.,Gokaldas Exports,983.90,53.50,7002.89,0.10,44.28,-6.17,812.42,55.34,12.45,Readymade Garments/ Apparells
4.,Kewal Kir.Cloth.,733.90,29.26,4522.68,0.68,37.59,18.99,219.42,10.00,31.16,Readymade Garments/ Apparells
5.,Pearl Global Ind,748.25,19.55,3262.11,1.17,48.99,37.51,877.37,20.20,21.39,Readymade Garments/ Apparells
6.,Dollar Industrie,529.95,33.62,3005.67,0.56,32.02,770.11,488.37,20.18,13.86,Readymade Garments/ Apparells
7.,Rupa & Co,284.55,31.15,2262.85,1.05,24.24,42.88,400.48,-1.55,10.09,Readymade Garments/ Apparells
8.,Kitex Garments,213.00,25.40,1416.43,0.70,19.74,564.65,173.05,77.11,6.93,Readymade Garments/ Apparells
9.,Zodiac Cloth. Co,154.05,,400.44,0.00,-13.57,-140.60,44.06,4.68,-8.74,Readymade Garments/ Apparells
10.,Thomas Scott,281.70,30.30,303.53,0.00,4.00,49.25,25.72,7.57,31.74,Readymade Garments/ Apparells
11.,Ceenik Exports,827.80,486.51,277.33,0.12,1.65,,0.00,,11.07,Readymade Garments/ Apparells
12.,Scoobee Garments,76.85,27.73,103.75,0.00,-0.75,-117.94,7.54,-46.07,11.91,Readymade Garments/ Apparells
13.,C P S Shapers,270.00,76.62,56.70,0.00,-0.08,,18.40,,21.74,Readymade Garments/ Apparells
14.,Samtex Fashion,2.53,,18.87,0.00,-1.19,-176.74,0.00,,-1.46,Readymade Garments/ Apparells
15.,Meyer Apparel,1.94,,15.62,0.00,-0.36,47.83,1.48,-25.63,,Readymade Garments/ Apparells
16.,Spice IslandsInd,36.00,48.39,15.48,0.00,0.11,650.00,0.48,152.63,223.53,Readymade Garments/ Apparells
17.,Haria Apparels,5.31,9.13,8.12,0.00,0.10,-75.61,0.00,,18.77,Readymade Garments/ Apparells
18.,Haria Exports,6.32,81.09,7.30,0.00,0.04,0.00,0.00,,0.64,Readymade Garments/ Apparells
,Median: 18 Co.,275.85,33.62,351.99,0.05,2.83,28.25,34.89,7.57,13.86,Readymade Garments/ Apparells
