S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,DLF,839.35,76.31,207765.24,0.48,919.82,61.49,2134.84,46.62,5.88,Realty
2.,Godrej Propert.,3330.30,127.62,92601.31,0.00,478.01,14.34,1426.09,-13.37,6.28,Realty
3.,Prestige Estates,1799.45,52.55,72133.08,0.08,235.90,-69.53,2164.00,-17.77,14.87,Realty
4.,Phoenix Mills,3704.80,60.25,66214.12,0.14,391.58,49.83,1305.95,79.13,12.60,Realty
5.,Oberoi Realty,1800.00,37.21,65448.41,0.44,788.03,64.07,1314.77,36.75,15.24,Realty
6.,Brigade Enterpr.,1388.00,79.97,32081.65,0.15,210.86,247.07,1702.37,102.04,12.61,Realty
7.,Sobha,2038.35,443.88,21800.92,0.15,7.03,-85.53,762.86,-36.95,7.12,Realty
8.,SignatureGlobal,1482.25,1287.21,20827.23,0.00,41.25,441.52,694.36,-1.46,1.60,Realty
9.,Anant Raj,487.85,63.96,16679.18,0.15,84.01,61.71,442.59,57.98,8.56,Realty
10.,Puravankara,530.80,299.71,12587.43,1.21,-6.71,-124.72,919.97,136.50,9.90,Realty
11.,Valor Estate,203.40,8.89,10952.46,0.00,-13.33,84.25,144.22,147.16,22.95,Realty
12.,Indbull.RealEst.,152.05,,9654.10,0.00,-302.28,10.47,21.02,-80.56,-10.97,Realty
13.,Ahluwalia Contr.,1300.05,37.50,8708.73,0.03,199.80,-19.82,1163.66,34.83,23.91,Realty
14.,Keystone Realtor,665.95,75.57,8391.65,0.00,30.47,-58.85,811.56,135.66,6.58,Realty
15.,Sunteck Realty,542.20,111.99,7942.54,0.28,101.34,462.71,426.89,773.52,4.69,Realty
16.,Max Estates,494.50,,7289.39,0.00,-4.73,-131.52,30.01,28.74,0.87,Realty
17.,NESCO,939.70,18.23,6621.12,0.64,105.12,23.80,188.97,20.18,22.39,Realty
18.,TARC Ltd,221.70,,6542.29,0.00,-51.73,-3481.05,9.48,-92.98,1.85,Realty
19.,Hemisphere Prop,192.00,,5472.04,0.00,-4.36,-389.89,0.13,-45.83,-1.37,Realty
20.,Ashiana Housing,427.25,51.48,4294.91,0.11,17.38,67.44,289.67,159.86,11.80,Realty
21.,Nirlon,424.75,18.59,3827.85,6.11,51.18,2.96,153.36,3.54,27.73,Realty
22.,Arvind SmartSp.,725.55,87.17,3298.49,0.35,19.50,66.56,117.37,26.64,15.94,Realty
23.,Kolte Patil Dev.,427.50,,3249.19,0.93,-26.18,-122.29,526.38,-33.95,1.56,Realty
24.,Marathon Nextgen,597.90,18.42,3061.72,0.17,40.44,145.50,155.42,-8.82,15.88,Realty
25.,Alembic,115.00,11.00,2952.97,1.89,72.15,22.58,49.04,32.11,4.86,Realty
,Median: 163 Co.,52.24,30.75,111.31,0.0,0.08,0.0,3.83,15.59,5.42,Realty
26.,Unitech,11.11,,2906.67,0.00,-1572.35,-176.42,255.69,162.38,-17.71,Realty
27.,Suraj Estate,614.65,40.36,2726.64,0.00,19.46,,100.36,,28.90,Realty
28.,Capacit'e Infra.,301.30,21.25,2549.06,0.00,51.81,139.08,598.89,34.06,16.05,Realty
29.,Ajmera Realty,715.30,24.70,2537.89,0.42,29.47,94.52,231.80,102.89,11.72,Realty
30.,Omaxe,121.55,,2223.13,0.00,-143.59,-37.55,535.58,85.02,-22.15,Realty
31.,Peninsula Land,71.74,24.34,2214.60,0.00,24.30,-6.46,113.47,-21.87,26.56,Realty
32.,Suratwwala Busi.,122.55,76.45,2125.20,0.00,5.59,648.04,21.08,96.83,54.99,Realty
33.,Kesar India,834.90,204.88,2063.28,0.00,3.57,,31.38,,66.60,Realty
34.,Shriram Properti,110.30,24.87,1878.96,0.00,20.12,32.11,302.24,156.46,10.30,Realty
35.,Texmaco Infrast.,139.50,331.03,1777.58,0.11,2.51,2400.00,3.43,-18.53,0.46,Realty
36.,Arihant Super.,359.05,23.20,1477.84,0.13,16.31,7666.67,155.35,137.57,,Realty
37.,Hubtown,182.15,,1456.05,0.00,-90.11,-1969.20,105.79,29.63,-0.04,Realty
38.,TCC Concept,630.00,78.12,1388.16,0.00,4.81,301.43,12.77,1177.00,,Realty
39.,AGI Infra,850.00,19.93,1038.42,0.12,9.34,-29.88,79.83,20.30,25.00,Realty
40.,Eldeco Housing,1018.25,29.58,1001.25,0.78,11.70,-21.48,49.20,27.13,12.02,Realty
41.,Newtime Infra.,18.00,586.77,944.72,0.00,7.82,155.76,3.23,546.00,1.97,Realty
42.,GeeCee Vent.,387.00,21.74,809.27,0.52,17.90,261.55,63.14,1358.20,7.18,Realty
43.,PVP Ventures,27.74,,722.35,0.00,2.46,108.45,3.67,105.03,-2.22,Realty
44.,Laxmi Goldorna,342.60,75.18,715.08,0.00,5.45,1514.71,127.28,379.76,21.35,Realty
45.,Vipul Ltd,51.02,2.60,612.16,0.00,202.72,3198.94,35.77,341.06,67.98,Realty
46.,Swadeshi Polytex,147.00,6.96,573.33,0.00,0.10,-98.11,0.00,-100.00,146.60,Realty
47.,Emami Realty Ltd,102.70,,388.66,0.00,-70.38,-360.00,17.45,-33.65,-4.10,Realty
48.,Baroda Rayon,166.75,24.68,382.06,0.00,4.62,-63.34,7.13,-80.79,3.35,Realty
49.,Majestic Auto,359.75,11.69,374.13,4.17,-0.16,68.63,15.52,19.66,11.61,Realty
50.,Nila Spaces,9.24,27.12,363.95,0.00,2.18,178.70,32.29,,17.09,Realty
,Median: 163 Co.,52.24,30.75,111.31,0.0,0.08,0.0,3.83,15.59,5.42,Realty
51.,Lancor Holdings,46.64,50.34,340.46,0.00,3.01,892.11,43.71,64.94,9.71,Realty
52.,Shradha Infrapr.,164.00,17.80,332.11,0.76,9.15,159.49,30.32,-32.83,10.15,Realty
53.,Binny,145.00,14.21,323.64,0.00,-5.73,-132.89,23.79,-26.16,26.75,Realty
54.,Ravinder Heights,46.95,,287.93,0.00,-0.32,-104.66,0.14,-98.81,-0.75,Realty
55.,RRIL,22.90,48.31,277.58,0.00,1.73,-66.47,26.24,-40.21,8.03,Realty
56.,Sumit Woods,88.25,30.03,269.92,0.00,5.53,106.85,65.40,42.76,13.61,Realty
57.,Prajay Engineers,35.60,,248.98,0.00,-24.12,-5870.73,26.37,127.72,-5.17,Realty
58.,Shraddha Prime,115.00,35.59,232.29,0.00,-6.68,-757.07,30.68,257.16,8.55,Realty
59.,KBC Global,2.05,,224.83,0.00,-29.88,-290.08,12.58,-29.05,-0.45,Realty
60.,Homesfy Realty,700.00,51.29,213.85,0.00,7.86,,36.32,,15.09,Realty
61.,H D I L,4.32,,204.77,0.00,-4.72,64.59,0.82,127.78,-5.37,Realty
62.,Tulive Developer,926.55,,199.62,0.00,0.11,-76.09,0.00,,-1.75,Realty
63.,AMJ Land Holdin.,48.10,17.77,197.26,0.46,4.87,199.36,8.06,-39.99,9.38,Realty
64.,Coromandel Engg.,57.56,,191.27,0.00,-1.07,29.61,21.59,-22.95,-2.00,Realty
65.,Arih.Found.Hsg.,218.75,13.92,188.13,0.00,0.90,4.65,45.45,233.95,11.23,Realty
66.,Mason,106.90,59.45,187.85,0.00,,,,,,Realty
67.,S V Global Mill,98.73,,178.53,0.00,-2.17,-274.14,1.55,-7.74,-2.36,Realty
68.,Motor & Gen Fin,44.31,123.45,171.60,0.00,1.67,268.69,1.65,21.32,2.29,Realty
69.,Radhe Develop.,3.38,,170.19,0.00,-0.99,83.11,4.29,694.44,-4.55,Realty
70.,Prerna Infra.,45.50,31.55,164.38,0.00,0.95,-67.28,21.41,329.92,8.48,Realty
71.,Landmark Prop.,11.72,,157.21,0.00,-12.01,-91.85,0.36,-12.20,-23.41,Realty
72.,Shervani Indl Sy,608.00,5.07,156.45,0.41,-2.63,-114.02,25.68,439.50,20.37,Realty
73.,MRO-TEK Realty,83.69,43.43,156.33,0.00,-2.25,-226.09,8.65,7.05,7.50,Realty
74.,Ansal Properties,9.73,,153.15,0.00,-33.02,89.99,189.90,-35.95,,Realty
75.,B-Right Real,145.40,61.82,150.22,0.00,2.81,,22.11,,5.55,Realty
,Median: 163 Co.,52.24,30.75,111.31,0.0,0.08,0.0,3.83,15.59,5.42,Realty
76.,Shri Krishna,53.61,33.73,150.11,0.00,1.32,-72.61,6.70,-62.57,7.33,Realty
77.,Anik Industries,52.24,52.70,144.97,0.00,-3.13,-7725.00,56.34,255.91,2.79,Realty
78.,Elnet Technolog,354.00,8.08,141.60,0.56,4.05,45.16,5.89,-8.82,17.88,Realty
79.,Dynavision,319.25,18.97,122.59,0.00,1.66,71.13,3.42,77.20,33.90,Realty
80.,Ansal Housing,17.11,33.15,119.13,0.00,19.67,920.14,146.78,191.58,12.64,Realty
81.,Raja Bahadur Int,4610.00,91.48,115.25,0.00,1.90,209.83,5.80,45.36,7.77,Realty
82.,Yogi Ltd,52.50,,111.31,0.00,0.14,-12.50,0.00,,-1.03,Realty
83.,Kemp & Co.,991.40,,107.07,1.21,0.22,-77.55,0.74,-1.33,-0.11,Realty
84.,Krishna Vent.,97.61,,105.42,0.00,-0.06,-220.00,0.50,-63.77,-4.01,Realty
85.,Skyline Millars,26.10,,104.99,0.00,-0.19,64.00,0.00,,-3.76,Realty
86.,Ansal Buildwell,124.45,6.33,91.85,0.81,-5.02,-356.36,2.79,-38.82,13.06,Realty
87.,Shristi Infra,41.20,,91.46,0.00,16.03,9.48,-31.36,-173.48,-4.06,Realty
88.,Rainbow Foundat.,18.15,23.63,90.05,0.00,3.03,991.18,32.94,111.83,6.52,Realty
89.,Sam Industries,77.89,8.05,86.37,0.00,-0.27,51.79,2.16,-61.36,16.46,Realty
90.,Jamshri Realty,11880.00,,83.00,0.00,-0.33,63.64,1.60,58.42,-0.89,Realty
91.,Golden Tobacco,42.90,14.25,75.54,0.00,-1.55,-187.04,3.80,-18.28,,Realty
92.,S & T Corporatio,23.50,,74.81,0.00,0.01,104.55,0.05,138.46,-1.17,Realty
93.,Poddar Housing,89.50,,65.04,0.00,-16.20,-72.52,-0.02,-101.09,-3.95,Realty
94.,Medi Caps,49.71,,61.99,0.00,-1.08,-391.89,7.87,-25.54,-1.04,Realty
95.,Tatia Global,4.05,99.06,61.43,0.00,0.15,-85.15,0.26,-7.14,2.30,Realty
96.,Zodiac Vent.,15.76,133.59,58.74,0.00,-0.16,-108.70,0.08,-99.92,16.36,Realty
97.,Grovy India,171.05,57.03,57.03,0.06,0.04,-55.56,3.51,-66.86,6.11,Realty
98.,Victoria Mills,5690.00,77.17,56.34,0.89,-1.36,-148.92,0.00,-100.00,2.19,Realty
99.,Satchmo Holdings,3.85,3.55,56.14,0.00,11.71,-88.22,6.35,-89.40,,Realty
100.,PVV Infra Ltd,19.99,17.84,55.13,0.00,1.83,340.79,12.15,-39.76,9.26,Realty
,Median: 163 Co.,52.24,30.75,111.31,0.0,0.08,0.0,3.83,15.59,5.42,Realty
101.,Nimbus Projects,50.00,5419.19,54.20,0.00,5.02,157.24,4.90,807.41,,Realty
102.,Modipon,45.80,,53.00,0.00,-0.19,-5.56,0.00,,,Realty
103.,G G Dandekar,110.90,,52.79,0.00,-3.71,-958.82,0.62,-22.50,-0.80,Realty
104.,ICDS,40.50,25.85,52.75,0.00,0.31,138.75,0.71,18.33,9.12,Realty
105.,Guj. Credit Corp,20.78,,51.95,0.00,-0.04,-103.15,0.00,,0.06,Realty
106.,Country Condo,6.37,30.75,49.47,0.00,0.05,-77.27,5.92,-0.67,8.16,Realty
107.,Simplex Realty,163.90,27.07,49.01,0.62,0.61,17.31,0.30,30.43,1.96,Realty
108.,Tirupati Sarjan,14.69,12.28,48.47,0.00,0.89,286.96,72.01,31.43,9.19,Realty
109.,Yuranus Infrast.,121.25,29.28,42.45,0.00,0.29,825.00,26.53,,67.47,Realty
110.,Techindia Nirman,28.75,,41.20,0.00,-0.14,-105.38,0.00,,-0.43,Realty
111.,Gothi Plascon,37.28,24.86,38.03,5.37,-0.23,-15.00,1.05,0.00,17.17,Realty
112.,Garnet Construct,27.00,12.74,37.51,0.00,-0.60,-166.67,6.86,1224.59,4.52,Realty
113.,Martin Burn,72.00,31.43,37.09,0.00,-0.18,-190.00,1.64,2242.86,3.93,Realty
114.,Roselabs Finance,33.80,,33.80,0.00,0.00,100.00,1.14,,-162.50,Realty
115.,Cityman,26.46,,30.96,0.00,-0.08,57.89,0.00,,-4.69,Realty
116.,Citadel Realty,38.02,26.32,30.01,0.00,0.27,35.00,0.79,12.86,11.14,Realty
117.,Orient Tradelink,12.15,165.57,29.84,0.00,-0.68,-319.35,5.05,241.22,5.13,Realty
118.,Shantidoot Infra,161.00,23.35,28.95,0.00,0.85,,6.74,,35.34,Realty
119.,Steel Strips Inf,32.94,1.12,28.45,0.00,-13.27,-1769.01,0.33,22.22,,Realty
120.,Prime Urban,10.60,,28.25,0.00,-0.49,2.00,1.41,-26.94,-19.35,Realty
121.,Croissance Ltd,4.10,401.46,28.07,0.00,-0.07,-124.14,0.00,-100.00,1.11,Realty
122.,MPDL Ltd,37.75,1.51,27.97,0.00,-2.53,-232.46,-0.88,35.77,12.12,Realty
123.,Rodium Realty,81.72,20.10,26.54,0.00,4.82,288.71,22.09,23.41,4.96,Realty
124.,Sanathnagar Ent.,84.09,9.01,26.49,0.00,1.85,86.87,2.30,,65.46,Realty
125.,Crane Infra,35.83,17.92,25.95,0.00,0.34,1033.33,0.51,96.15,6.44,Realty
,Median: 163 Co.,52.24,30.75,111.31,0.0,0.08,0.0,3.83,15.59,5.42,Realty
126.,Suvidha Infra.,28.34,78.78,25.21,0.00,0.09,200.00,0.45,,26.80,Realty
127.,Bhanderi Infra.,96.60,41.11,25.08,0.00,0.06,,3.05,,2.04,Realty
128.,SSPDL Ltd,19.29,,24.94,0.00,-2.52,-436.17,0.76,-86.62,-1.96,Realty
129.,KCD Industries,9.56,10.11,24.19,0.00,0.11,-83.82,0.69,-77.30,,Realty
130.,IITL Projects,47.52,10.73,23.71,0.00,4.91,211.53,2.56,11.79,,Realty
131.,ETT Ltd,22.68,13.61,23.52,0.00,0.40,-20.00,0.00,-100.00,6.70,Realty
132.,RTCL,18.25,10.24,21.90,0.00,1.86,994.12,3.86,3760.00,6.81,Realty
133.,Popular Estate,15.41,,21.57,0.00,-0.15,-7.14,0.00,,-1.36,Realty
134.,Diggi Multitrade,22.00,,21.30,0.00,-0.24,,0.00,,-2.83,Realty
135.,Parshwanath Corp,65.00,44.26,20.37,0.00,0.10,-50.00,0.04,-84.00,4.20,Realty
136.,Satra Properties,1.08,,19.26,0.00,-0.43,-290.91,0.00,,-1.14,Realty
137.,Bhudevi Infra,38.19,19.26,17.53,0.00,1.91,1373.33,2.00,,245.54,Realty
138.,Parle Industries,11.80,550.52,16.49,0.00,0.04,300.00,0.00,-100.00,0.33,Realty
139.,Square Four Pro.,8.31,,16.30,0.00,0.05,-16.67,0.00,,,Realty
140.,Yash Innoventure,22.71,20.08,15.26,0.00,-0.05,81.48,0.00,,2.10,Realty
141.,Ladam Affordab.,7.65,,14.01,0.00,-0.06,68.42,0.82,-10.87,-0.18,Realty
142.,Arunis Abode,45.12,34.72,13.54,0.00,0.15,87.50,0.27,-83.83,10.78,Realty
143.,Rap Media,22.23,,13.07,0.00,-0.16,80.72,0.00,,-9.34,Realty
144.,Asia Pack,48.56,34.64,12.82,0.00,0.03,-57.14,0.06,500.00,1.88,Realty
145.,Eurotex Industri,13.14,,11.49,0.00,-0.95,-125.68,0.63,-88.97,-24.52,Realty
146.,Gallops Enterp.,22.85,1145.12,11.45,0.00,-0.03,-160.00,0.08,-20.00,0.67,Realty
147.,Anna Infrastruct,29.95,18.97,11.38,0.00,0.07,-22.22,0.21,-27.59,7.97,Realty
148.,KMF Builders,8.14,20.66,9.92,0.00,0.12,-36.84,0.04,-94.20,5.28,Realty
149.,Vaghani Techno,18.96,,9.90,0.00,0.02,100.00,0.00,,1.25,Realty
