S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Avenue Super.,4778.75,122.62,310969.07,0.00,563.14,22.40,12726.55,20.13,19.55,Retail
2.,Trent,5567.00,218.71,197899.89,0.06,712.09,458.90,3297.70,51.08,23.79,Retail
3.,Aditya Bir. Fas.,332.90,,33826.04,0.00,-266.35,-22.80,3406.65,18.30,0.40,Retail
4.,Vedant Fashions,1131.25,66.34,27475.30,0.79,115.79,6.36,363.16,6.30,31.71,Retail
5.,Redtape,778.20,61.02,10754.84,0.00,40.96,18.55,506.86,33.81,31.88,Retail
6.,Electronics Mart,229.95,48.07,8847.35,0.00,40.56,12.29,1524.23,14.79,12.74,Retail
7.,Shoppers Stop,782.95,105.73,8609.40,0.00,23.18,71.18,1046.34,13.25,11.84,Retail
8.,Medplus Health,687.85,125.62,8223.03,0.00,33.57,25.75,1490.50,18.96,6.83,Retail
9.,Ethos Ltd,2863.35,84.13,7009.62,0.00,21.03,58.36,252.52,21.66,14.30,Retail
10.,V-Mart Retail,3103.75,,6138.26,0.00,-38.92,-5.30,668.60,12.58,0.55,Retail
11.,Aditya Vision,4568.90,76.28,5878.61,0.16,7.85,15.78,375.67,22.66,21.39,Retail
12.,Entero Healthcar,1108.80,123.31,4822.58,0.00,21.18,663.71,1034.18,16.57,5.50,Retail
13.,Cartrade Tech,835.40,67.06,3943.84,0.00,24.97,41.13,145.28,51.55,4.79,Retail
14.,Hindware Home In,463.95,130.17,3354.15,0.09,2.73,-90.59,773.67,0.76,9.51,Retail
15.,Sai Silks,193.05,29.39,2960.71,0.00,28.73,41.95,359.64,11.02,15.31,Retail
16.,Landmark Cars,711.15,50.43,2938.94,0.32,10.97,-58.46,863.97,1.19,12.16,Retail
17.,V2 Retail,791.80,100.38,2738.80,0.00,3.87,147.37,296.04,53.05,10.69,Retail
18.,Shankara Build.,723.60,21.84,1754.70,0.42,24.22,26.54,1376.55,13.76,17.53,Retail
19.,Yamuna Syndicate,51701.10,12.79,1589.12,0.63,45.21,17.55,14.30,-4.98,11.29,Retail
20.,Allcargo Gati,100.95,,1484.15,0.00,-6.17,71.63,405.80,-2.37,-0.50,Retail
21.,Credo Brands,170.60,18.62,1101.06,0.00,7.03,-67.42,133.08,0.22,19.27,Retail
22.,Jay Jalaram Tech,725.00,162.34,806.92,0.00,4.21,,322.66,,22.35,Retail
23.,Spencer's Retail,87.11,,785.15,0.00,-80.69,-31.78,546.79,0.63,-9.89,Retail
24.,Brand Concepts,613.95,62.37,683.53,0.16,1.07,-47.03,58.11,39.45,25.05,Retail
25.,Cellecor Gadgets,309.20,40.31,648.34,0.00,9.07,,290.80,,84.01,Retail
,Median: 67 Co.,97.5,61.7,184.07,0.0,1.07,-1.43,58.11,16.57,6.83,Retail
26.,PNGS Gargi FJ,643.00,73.17,619.06,0.00,2.35,74.07,15.38,116.93,43.38,Retail
27.,Foce India,996.00,30.67,487.34,0.00,10.72,,54.34,,30.13,Retail
28.,Logica Infoway,255.30,53.91,436.67,0.00,5.50,,557.03,,17.11,Retail
29.,On Door Concepts,489.95,45.23,276.74,0.00,5.38,,128.95,,10.39,Retail
30.,Osia Hyper Reta.,23.29,15.02,275.13,0.00,4.69,338.32,312.73,66.41,22.82,Retail
31.,Bhatia Communic.,20.28,29.91,253.79,0.25,2.98,4.20,93.91,14.02,16.90,Retail
32.,Rajnish Retail,76.99,694.28,236.04,0.00,0.32,-13.51,4.03,194.16,1.42,Retail
33.,Fonebox,195.00,58.34,200.07,0.00,1.88,,157.41,,41.86,Retail
34.,Praxis Home,14.70,,184.07,0.00,-33.51,-99.92,46.18,-35.28,-39.13,Retail
35.,Future Retail,2.97,,161.06,0.00,-1078.19,-28.18,2786.40,87.47,-13.74,Retail
36.,Aditya Consumer,83.50,,122.19,0.00,-3.23,-59.48,47.01,1.30,-6.43,Retail
37.,IFL Enterprises,1.52,113.33,113.33,0.01,-0.54,-2800.00,1.99,35.37,5.57,Retail
38.,Archies,25.41,,85.85,0.00,-8.62,-453.28,21.80,5.47,-2.31,Retail
39.,Ganesha Ecoverse,68.69,18.14,76.78,0.00,3.86,,4.83,,28.20,Retail
40.,Magson Retail,97.50,27.14,76.53,0.00,1.92,,33.08,,34.99,Retail
41.,Popees Care,118.95,,72.22,0.00,-2.35,-7733.33,0.00,,-278.61,Retail
42.,Cell Point,34.60,38.26,64.65,0.00,0.01,,163.49,,11.13,Retail
43.,KKV Agro Powers,1119.20,234.96,63.44,0.45,-0.41,,529.57,,4.52,Retail
44.,Future Enterp.,0.82,,61.58,0.00,-1422.11,-118.40,7.89,-97.55,,Retail
45.,Salora Intl.,64.50,,56.82,0.00,-0.71,-1.43,33.38,44.50,-1.72,Retail
46.,Future Lifestyle,2.80,,56.52,0.00,-7.53,96.27,177.61,-78.68,-72.64,Retail
47.,Bizotic Commer.,50.57,13.20,40.66,0.00,2.28,,45.58,,36.88,Retail
48.,White Organic,7.41,22.17,25.95,0.00,-1.19,57.95,8.07,-40.66,4.47,Retail
49.,Heads UP Venture,11.68,,25.79,0.00,-1.96,61.11,0.16,1500.00,-26.86,Retail
50.,Thirdwave Fin.,114.10,630.30,25.21,0.00,-0.12,-500.00,1.23,127.78,3.64,Retail
,Median: 67 Co.,97.5,61.7,184.07,0.0,1.07,-1.43,58.11,16.57,6.83,Retail
51.,Shanti Guru Inds,19.95,,24.56,0.00,-0.04,,0.00,,-0.70,Retail
52.,JHS Svend.Retail,37.53,,24.40,0.00,-0.02,,6.35,,,Retail
53.,Future Ent. DVR,5.99,,23.58,0.00,6.10,-90.68,2899.46,22.43,,Retail
54.,Muller & Phipps,304.50,59.47,19.03,0.00,0.30,-211.11,0.79,-16.84,,Retail
55.,White Organic Re,5.40,,17.69,0.00,1.87,46.69,0.00,100.00,-130.10,Retail
56.,7NR Retail Ltd,5.93,,16.61,0.00,-0.23,-9.52,1.00,-90.38,-3.12,Retail
57.,Asian Petroprod.,14.99,,12.99,0.00,-0.39,-181.25,0.00,-100.00,-770.37,Retail
58.,Natural Biocon,11.10,84.17,12.64,0.00,0.06,-53.85,11.37,1222.09,1.85,Retail
59.,Sonalis Consumer,54.96,549.12,10.98,0.00,-0.29,,0.63,,0.26,Retail
60.,Naksh Precious,10.06,352.81,10.58,0.00,0.04,-20.00,0.39,1850.00,-0.66,Retail
61.,Vaxfab Enterp.,10.12,11.81,8.50,0.00,0.62,181.82,1.19,-91.70,0.87,Retail
62.,Mafia Trends,15.66,21.03,6.94,0.64,0.26,,3.80,,8.05,Retail
63.,Jetmall Spices,10.11,151.40,6.06,0.00,0.03,,0.75,,0.62,Retail
64.,Chandrima Mercan,22.52,2.93,4.98,0.00,2.36,17500.00,10.54,-21.34,6.15,Retail
65.,Hit Kit Global,1.18,,4.37,0.00,-2.57,-666.67,0.07,40.00,-1.92,Retail
66.,Saptak Chem &,3.03,,3.25,0.00,-0.03,-200.00,0.00,,-6.59,Retail
67.,Euro Asia Export,16.27,127.50,2.55,0.00,0.00,-100.00,12.30,13566.67,7.34,Retail
,Median: 67 Co.,97.5,61.7,184.07,0.0,1.07,-1.43,58.11,16.57,6.83,Retail
