S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Indus Towers,399.90,17.88,107770.56,0.00,1853.10,32.45,7193.20,6.52,20.16,Telecomm Equipment & Infra Services
2.,ITI,310.20,,29806.67,0.00,-238.94,-227.85,601.28,-22.44,-8.44,Telecomm Equipment & Infra Services
3.,Tejas Networks,1432.00,388.79,24486.61,0.00,146.78,1379.69,1326.88,343.30,3.68,Telecomm Equipment & Infra Services
4.,GTL Infra.,3.96,,5071.57,0.00,-214.72,-17.69,331.09,-12.38,,Telecomm Equipment & Infra Services
5.,Avantel,184.00,80.68,4476.15,0.11,13.08,24.10,41.71,-20.37,47.50,Telecomm Equipment & Infra Services
6.,NELCO,852.90,82.34,1946.29,0.28,6.10,7.77,81.61,-0.45,23.37,Telecomm Equipment & Infra Services
7.,Suyog Telematics,1133.50,19.09,1208.58,0.04,15.72,24.37,45.36,18.62,21.62,Telecomm Equipment & Infra Services
8.,ADC India,2192.75,48.73,1008.65,0.23,6.94,926.19,44.11,27.78,45.23,Telecomm Equipment & Infra Services
9.,Kore Digital,1749.00,61.01,701.02,0.00,4.49,253.54,34.54,272.60,39.91,Telecomm Equipment & Infra Services
10.,Frog Cellsat,374.00,38.35,577.29,0.00,6.60,42.24,44.46,42.82,15.68,Telecomm Equipment & Infra Services
11.,Valiant Commun.,679.70,83.49,518.48,0.00,2.49,182.95,13.31,42.20,19.11,Telecomm Equipment & Infra Services
12.,Sar Televenture,272.50,26.09,408.75,0.00,11.60,,88.34,,80.76,Telecomm Equipment & Infra Services
13.,Prec. Electronic,152.10,144.28,210.65,0.00,1.56,387.50,13.78,41.92,9.87,Telecomm Equipment & Infra Services
14.,Steelman Telecom,154.00,,149.02,0.00,-5.60,,116.12,,-9.35,Telecomm Equipment & Infra Services
15.,Punjab Commun.,69.60,,83.65,0.00,15.02,-406.67,5.88,75.52,-9.31,Telecomm Equipment & Infra Services
16.,Kavveri Telecom,23.80,,47.88,0.00,-0.30,-3.45,0.74,-25.25,-2.11,Telecomm Equipment & Infra Services
,Median: 16 Co.,342.1,61.01,854.84,0.0,6.35,28.41,44.91,23.2,19.11,Telecomm Equipment & Infra Services
