S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Grasim Inds,2735.00,30.69,180094.12,0.36,2721.81,14.57,37727.13,12.75,9.38,Textiles
2.,Raymond,2942.90,11.74,19591.93,0.34,229.79,-16.17,2608.50,21.32,30.93,Textiles
3.,Trident,38.34,55.88,19538.37,0.94,59.01,-56.37,1682.26,6.93,10.48,Textiles
4.,Welspun Living,151.00,21.84,14674.27,0.07,130.55,4.12,2575.24,19.56,16.12,Textiles
5.,Vardhman Textile,489.10,22.44,14143.51,0.73,202.13,26.36,2459.41,-1.05,8.80,Textiles
6.,Alok Industries,28.38,,14091.30,0.00,-215.93,27.43,1469.31,-6.44,-4.32,Textiles
7.,Arvind Ltd,387.20,30.30,10130.33,0.96,104.42,16.43,2074.51,10.30,12.41,Textiles
8.,Indo Count Inds.,415.00,24.32,8219.30,0.47,91.94,-2.93,1093.26,35.46,18.21,Textiles
9.,Garware Tech.,3980.70,37.97,7902.97,0.09,69.56,16.57,382.27,3.18,23.05,Textiles
10.,Jindal Worldwide,345.85,91.68,6935.00,0.06,28.17,6.18,573.79,4.43,9.83,Textiles
11.,Go Fashion (I),1041.10,67.92,5622.87,0.00,13.05,-11.71,181.74,15.32,15.45,Textiles
12.,Lux Industries,1525.00,36.50,4585.90,0.33,55.09,84.62,707.55,-1.30,11.09,Textiles
13.,Bombay Dyeing,215.40,,4448.78,0.55,66.39,126.97,380.65,-43.20,1.44,Textiles
14.,Ganesha Ecosphe.,1413.00,88.26,3581.53,0.14,21.60,40.44,305.53,1.32,8.00,Textiles
15.,TCNS Clothing Co,561.80,,3554.98,0.00,-63.60,-126.17,211.32,-21.31,-28.69,Textiles
16.,Jindal Poly Film,805.05,49.32,3525.01,0.52,-18.88,96.25,1076.56,32.98,2.78,Textiles
17.,Filatex India,57.89,23.23,2569.46,0.26,34.84,87.21,1025.84,-2.00,12.65,Textiles
18.,Siyaram Silk,511.95,12.57,2322.75,2.13,68.99,-21.90,646.37,-6.97,20.41,Textiles
19.,Cantabil Retail,259.45,35.53,2169.98,0.34,18.35,1.66,194.12,11.61,17.96,Textiles
20.,Nitin Spinners,374.25,15.99,2104.05,0.67,39.17,1.63,800.71,22.28,11.61,Textiles
21.,Sangam India,407.80,47.80,2049.06,0.47,12.55,-70.97,706.06,2.67,6.95,Textiles
22.,S P Apparels,794.75,22.27,1994.27,0.39,28.46,38.69,295.13,7.26,14.56,Textiles
23.,Mafatlal Inds.,203.65,14.90,1463.27,0.00,33.27,182.91,764.26,125.83,5.25,Textiles
24.,Himatsing. Seide,141.15,12.29,1389.76,0.00,23.74,6.22,696.87,1.05,10.54,Textiles
25.,Monte Carlo Fas.,665.05,22.64,1378.75,3.00,-18.96,-194.66,206.52,-12.76,10.43,Textiles
,Median: 267 Co.,53.51,27.44,94.22,0.0,0.57,10.33,37.93,1.05,6.64,Textiles
26.,Century Enka,610.55,29.10,1334.05,1.67,20.26,39.63,468.68,-0.83,4.70,Textiles
27.,Filatex Fash.,7.69,145.31,1281.83,0.00,2.44,-33.70,61.76,51.30,1.07,Textiles
28.,Indo Rama Synth.,47.40,,1237.65,0.00,-40.48,-2598.77,904.14,2.74,-4.56,Textiles
29.,Raj Rayon Inds.,20.88,287.39,1161.11,0.00,-2.14,25.44,217.06,96.61,8.23,Textiles
30.,Nahar Spinning,319.25,,1151.39,0.49,-0.37,-94.08,815.42,12.67,0.43,Textiles
31.,Sportking India,872.00,15.76,1108.05,0.00,22.86,-25.92,611.18,14.52,9.60,Textiles
32.,Faze Three,451.50,23.58,1098.03,0.11,8.92,-39.85,164.35,15.67,13.92,Textiles
33.,RSWM Ltd,227.05,,1069.46,2.19,35.65,-145.84,1171.43,22.51,-0.31,Textiles
34.,Voith Paper,2428.00,29.38,1065.90,0.30,7.41,-24.62,44.99,5.64,14.71,Textiles
35.,Sutlej Textiles,63.85,,1046.04,1.58,-30.87,-65.35,650.00,-11.71,-6.25,Textiles
36.,Rajapalayam Mill,1095.50,59.48,1010.07,0.06,8.29,-72.28,223.33,0.91,0.97,Textiles
37.,Ambika Cotton,1653.00,15.02,946.35,2.13,16.09,-11.25,205.79,10.51,11.87,Textiles
38.,Gloster Ltd,831.05,37.34,909.44,2.41,7.68,-8.13,184.98,3.75,3.29,Textiles
39.,GHCL Textiles,94.53,37.02,903.61,0.54,10.25,102600.00,286.15,,5.71,Textiles
40.,Ashima,46.50,9.27,891.19,0.00,95.82,1717.06,146.25,283.25,18.98,Textiles
41.,Sarla Performanc,106.40,27.12,888.45,0.00,11.42,37966.67,105.84,51.68,9.19,Textiles
42.,SBC Exports,27.75,93.84,880.94,0.12,3.28,26.64,62.62,-3.47,28.72,Textiles
