S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Adani Enterp.,3159.35,102.55,360166.26,0.04,352.25,-41.62,29180.02,0.82,9.87,Trading
2.,Aegis Logistics,889.75,55.62,31230.30,0.74,237.29,39.35,1837.17,-14.73,14.74,Trading
3.,Cello World,1000.30,64.16,21229.47,0.16,96.12,,512.47,,36.56,Trading
4.,Redington,222.50,14.28,17394.46,2.79,323.89,4.45,22433.41,2.68,18.29,Trading
5.,Honasa Consumer,456.55,122.33,14803.34,0.00,26.71,1115.59,427.17,18.55,17.74,Trading
6.,MMTC,86.10,85.57,12915.00,0.00,69.78,456.54,0.64,-99.91,9.18,Trading
7.,PDS,552.15,50.58,7291.19,0.87,65.39,-19.09,3215.18,17.27,16.43,Trading
8.,Arvind Fashions.,524.35,103.32,6984.41,0.19,39.67,100.63,1093.85,3.66,13.38,Trading
9.,PTC India,213.75,14.40,6327.22,3.68,96.17,-19.08,3507.39,-1.84,9.64,Trading
10.,SG Mart,443.00,80.92,4941.21,0.00,33.65,25984.62,1277.54,,14.52,Trading
11.,Lloyds Enterpris,33.32,69.23,4238.72,0.32,45.65,-31.09,333.70,38.16,6.77,Trading
12.,Fischer Medical,621.80,1807.94,3326.64,0.00,2.59,,20.79,,,Trading
13.,Veritas (India),1199.45,17.21,3215.73,0.00,24.30,-16.38,1094.54,66.09,8.47,Trading
14.,D.P. Abhushan,1378.00,49.59,3066.73,0.07,16.20,261.61,556.78,44.75,26.80,Trading
15.,Optiemus Infra.,319.50,48.33,2743.13,0.46,24.04,39.61,490.10,43.94,15.42,Trading
16.,Novartis India,1100.05,31.87,2716.09,2.27,14.68,-41.33,81.17,6.62,16.05,Trading
17.,Rashi Peripheral,384.15,18.93,2531.51,0.00,47.06,35.35,3002.23,32.90,14.37,Trading
18.,Refex Industries,204.35,25.39,2363.97,0.18,33.38,-33.88,342.35,-45.67,26.39,Trading
19.,D-Link India,547.00,21.37,1942.10,1.46,24.60,24.68,332.02,7.39,30.93,Trading
20.,Sirca Paints,348.00,37.04,1907.36,0.43,12.51,31.82,82.63,21.03,24.06,Trading
21.,Popular Vehicles,252.55,24.00,1798.11,0.00,20.11,40.33,1363.71,4.51,13.58,Trading
22.,Spacenet Enterpr,32.22,169.47,1769.60,0.00,1.69,55.05,47.72,68.62,14.40,Trading
23.,Zota Health Care,599.15,,1589.35,0.17,-6.92,-118.99,49.64,34.71,-7.32,Trading
24.,Tinna Trade,398.65,13070.41,1568.45,0.00,-0.01,97.87,88.57,68.83,7.37,Trading
25.,Best Agrolife,663.15,14.74,1568.00,0.45,-72.49,-761.95,135.39,-46.68,16.49,Trading
,Median: 450 Co.,31.96,37.44,38.02,0.0,0.11,24.84,7.29,9.92,4.74,Trading
